,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
42,fabrice santoro,R,178.0,52.0,33.0,17.0,0.37236402896679205,0.2413543947634857,0.40794306703397604,0.541040441040441,0.742769351860261,0.576656551232592,72.06060606060606,0.6286248159253197,220.6,0.588,0.418,0.6,0.6
129,jonas bjorkman,R,183.0,67.0,19.0,7.0,0.3402637018195074,0.18994076099339255,0.44745955798587383,0.41735676604097643,0.688123426281321,0.5778456779846706,51.21052631578947,0.5995328798411697,,,,,
148,vincent spadea,R,183.0,76.0,26.0,9.0,0.34579938795476084,0.16666662921532094,0.38749116380695325,0.5353832033979093,0.7245153697593204,0.5762109678312923,72.07692307692308,0.6047626365894558,182.9,0.5770000000000001,0.405,0.462,0.385
172,carlos moya,R,190.0,42.0,47.0,25.0,0.3438833724681851,0.17446766878801484,0.3703877682601087,0.5334478169584554,0.7902432357967595,0.6118578516704117,63.91489361702128,0.6404025729599044,225.6,0.632,0.37200000000000005,0.652,0.6
182,nicolas lapentti,R,188.0,86.0,29.0,11.0,0.34483298736425544,0.186429298467165,0.4143739252258522,0.5039122754639995,0.7453805551289899,0.6160704004031602,49.793103448275865,0.6070440642749652,191.2,0.583,0.36700000000000005,0.429,0.5329999999999999
185,thomas johansson,R,180.0,49.0,29.0,11.0,0.33504288325969717,0.16251825200528094,0.36563030163435845,0.6084344295551191,0.7487762640666452,0.5637983945679822,76.93103448275862,0.6088924761929083,208.5,0.627,0.391,0.667,0.4
202,tommy haas,R,188.0,82.0,32.0,18.0,0.38108674356268224,0.2388604883239508,0.40858645541549954,0.608513774828113,0.7741595895959813,0.5937402518068575,60.1875,0.6431540199550672,202.0,0.63,0.395,0.5329999999999999,0.462
203,nicolas kiefer,R,183.0,38.0,38.0,21.0,0.3910718846374192,0.2488176039646628,0.4436862501103986,0.5538991710044341,0.8024132214534693,0.5311312996779467,49.526315789473685,0.6453192718598381,205.4,0.562,0.41600000000000004,0.5379999999999999,0.5379999999999999
204,andrei pavel,R,183.0,77.0,2.0,0.0,0.18434343434343436,0.023809523809523836,0.125,0.25,0.675,0.6686367218282112,44.0,0.5748620961386919,,,,,
214,arnaud clement,R,173.0,93.0,24.0,7.0,0.3575407089545291,0.19343119417132573,0.35754419191919196,0.5672351345048713,0.7130890580148947,0.5544238693792586,71.41666666666667,0.59873716605579,,,,,
226,guillermo canas,R,185.0,79.0,43.0,21.0,0.3831233625749338,0.25024069957290485,0.4579520798399047,0.5168694354740866,0.7500051373215391,0.5375502595783128,74.0,0.6121678911611295,189.3,0.597,0.418,0.6,0.278
227,marat safin,R,193.0,29.0,44.0,22.0,0.3631818765466769,0.2100993131076404,0.44913410453183195,0.6185106096369467,0.7967831157305529,0.5451755902775367,82.79545454545455,0.6300904683291129,197.3,0.638,0.431,0.47100000000000003,0.433
229,sebastien grosjean,R,175.0,51.0,20.0,6.0,0.3787385361982029,0.2102700608215314,0.3273502886002886,0.5106840966051494,0.6877500971250972,0.5879161082121276,53.35,0.6147903119865137,,,,,
