,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
1,thomas enqvist,R,190.0,31.0,12.0,0.34562042319658853,0.18523334652741427,0.3929915962174027,0.55393764995283,0.7608941515944914,0.5488549118833216,97.09677419354838,0.6183059591872018,166.2,0.58,0.426,0.182,0.474,72.0
14,kenneth carlsen,L,190.0,28.0,12.0,0.3374373668686294,0.17946544002216266,0.3859900020614306,0.4115143784786642,0.7689832984475842,0.6047747766620711,102.60714285714286,0.6339358808776498,217.7,0.556,0.34299999999999997,0.667,0.611,84.0
42,fabrice santoro,R,178.0,31.0,17.0,0.3884645425349527,0.24030220378842174,0.36527954616189906,0.5257243652404944,0.743877721976194,0.5598557941596922,55.354838709677416,0.6103990586091754,206.9,0.5920000000000001,0.38799999999999996,0.7140000000000001,0.375,52.0
93,andre agassi,R,180.0,50.0,37.0,0.4038886250132764,0.2863360936449172,0.4474689754689755,0.5928961038961041,0.8855741770306987,0.604649850234853,69.78,0.6873677725650374,213.6,0.6940000000000001,0.424,0.462,0.556,8.0
127,greg rusedski,L,193.0,34.0,20.0,0.3179271248995668,0.13297331314858024,0.4471755368814192,0.6219331418293357,0.8525095171072682,0.5956765815230384,61.14705882352941,0.6754152921399074,238.7,0.7020000000000001,0.397,0.6,0.688,46.0
129,jonas bjorkman,R,183.0,43.0,19.0,0.3517203996777614,0.2007496177792815,0.3068002546888716,0.5123679588385471,0.7508668742837868,0.5618135910166052,58.53488372093023,0.6226317382939532,191.8,0.607,0.37799999999999995,0.6,0.33299999999999996,70.0
140,albert costa,R,180.0,43.0,19.0,0.3753371322224012,0.23343360388625056,0.4167524511951756,0.4859031355521383,0.7207322284191602,0.601257661721105,92.16279069767442,0.6033475640833782,176.9,0.5579999999999999,0.405,0.385,0.42100000000000004,56.0
144,karol kucera,R,188.0,23.0,9.0,0.3840532859569716,0.24805526916510895,0.49400468812233517,0.4543737060041408,0.745575619471837,0.6124172271392978,70.69565217391305,0.6258867966629612,,,,,,91.0
148,vincent spadea,R,183.0,65.0,38.0,0.38949753160734557,0.25367481563182925,0.3965349394195548,0.6066086904548444,0.7828679878731937,0.592748235531287,79.1076923076923,0.6255423380220594,213.4,0.627,0.409,0.654,0.444,20.0
159,bohdan ulihrach,R,188.0,20.0,7.0,0.33742858025285494,0.20184905780494017,0.32285714285714284,0.459498556998557,0.7098151929769576,0.5743870845328156,48.25,0.6036671927640944,134.5,0.5589999999999999,0.39299999999999996,0.14300000000000002,0.25,86.0
162,sjeng schalken,R,193.0,36.0,17.0,0.36117849600728213,0.2163376741221168,0.3458098138245197,0.49927726594393257,0.7452284915520209,0.7366775115532929,95.83333333333333,0.6270998669705126,187.4,0.5710000000000001,0.40399999999999997,0.444,0.455,57.0
170,jiri novak,R,190.0,58.0,38.0,0.40612357042562014,0.3052548149418464,0.43161108246047386,0.579593017980442,0.7845620031945987,0.644733530274491,64.3103448275862,0.6395659803423221,247.9,0.5920000000000001,0.45799999999999996,0.7859999999999999,0.643,24.0
172,carlos moya,R,190.0,69.0,52.0,0.3831239581759611,0.2507514780852377,0.41700232489874434,0.5899273029707814,0.8577702703661783,0.5670158950836562,71.59420289855072,0.677019891935453,244.7,0.649,0.391,0.727,0.68,5.0
179,tim henman,R,185.0,60.0,41.0,0.39142330713314916,0.28589350820891063,0.45743005118662994,0.553958472083472,0.8336540752484247,0.5872530777381484,68.0,0.6664946279574006,202.9,0.59,0.43200000000000005,0.632,0.375,6.0
185,thomas johansson,R,180.0,43.0,25.0,0.36307767911503874,0.20342513353799258,0.41954192448378486,0.5795416792509818,0.8080865093729905,0.5560196974399708,48.13953488372093,0.659850885610104,215.3,0.629,0.40299999999999997,0.5,0.621,30.0
187,hicham arazi,L,175.0,32.0,15.0,0.37162314969892274,0.21708153199784394,0.3891285980101769,0.5774572215978466,0.7784181096681098,0.6182154708115202,57.90625,0.6232054296665934,183.8,0.633,0.39299999999999996,0.4,0.41200000000000003,62.0
191,dominik hrbaty,R,183.0,63.0,39.0,0.3957790383573593,0.2678919910362487,0.4184540107159155,0.6567353629383706,0.8140341432855805,0.6372090201071174,90.93650793650794,0.6511690243504504,234.2,0.644,0.431,0.667,0.6,14.0
193,gustavo kuerten,R,190.0,35.0,23.0,0.38448884703477887,0.2632677611004823,0.5025020217877362,0.5108368195763154,0.7985590601103651,0.55377819334798,76.28571428571429,0.6388560262058119,231.6,0.579,0.439,0.769,0.529,40.0
196,sargis sargsian,R,180.0,43.0,17.0,0.36839589598231093,0.20174066889183173,0.29930262396062673,0.5047182791368838,0.7132639327896367,0.6321379164758335,63.04651162790697,0.6032880654809695,206.1,0.523,0.396,0.5710000000000001,0.5710000000000001,75.0
