,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
249,roger federer,R,185.0,2.0,58.0,48.0,0.3906753046807784,0.2565810682443543,0.452376024358783,0.49238319152112264,0.9153753131661234,0.6179209279454764,47.05172413793103,0.7325409751709608,146.2,32.1%,48.3%,23.9%,41.9%,240.4,68.4%,41.9%,68.8%,61.3%
279,mikhail youzhny,R,183.0,91.0,22.0,6.0,0.34625252450558003,0.17958475719170905,0.3102649875377148,0.566351088008842,0.6987558787024027,0.6089140405456511,74.18181818181819,0.59475729702792,,,,,,,,,,
298,feliciano lopez,L,188.0,36.0,42.0,21.0,0.322448632422452,0.14134541928659572,0.3477326245183387,0.5874655106797965,0.8043827049079152,0.6090268006387605,82.16666666666667,0.6539133587758533,116.0,25.8%,44.7%,13.4%,32.1%,225.9,63.3%,32.1%,71.4%,59.1%
309,david ferrer,R,175.0,38.0,27.0,9.0,0.3964453392584869,0.25313208336084153,0.3830056544762427,0.5694771791994013,0.6957010329573682,0.60534498765254,74.51851851851852,0.5835588298938094,,,,,,,,,,
326,rafael nadal,L,185.0,1.0,49.0,45.0,0.45772887155498665,0.41692126061628865,0.49369105784171796,0.5868296758737147,0.8716280601484683,0.6528537710131582,46.326530612244895,0.6874323611687155,174.4,35.7%,56.6%,36.5%,45.6%,252.2,70.5%,45.6%,71.4%,64.7%
331,ivo karlovic,R,208.0,89.0,27.0,13.0,0.25968260356637446,0.07624963392937247,0.2650205761316873,0.6247942386831274,0.9443506626513162,0.6625289052050144,75.62962962962963,0.7545868313241731,,,,,,,,,,
333,richard gasquet,R,185.0,31.0,58.0,35.0,0.38697462693179263,0.27752188368314124,0.4060271399774442,0.4868473199102002,0.7870509716224727,0.6162179506259879,62.53448275862069,0.6426942530100658,152.3,31.2%,50.9%,27.0%,43.2%,231.9,57.2%,43.2%,70.0%,61.5%
338,fernando verdasco,L,188.0,40.0,63.0,34.0,0.3906604097806675,0.2577352356472845,0.4239244221387078,0.5663333346806736,0.7769465307490515,0.6324213440631576,72.26984126984127,0.633621544912329,149.0,31.3%,51.7%,24.8%,41.2%,191.8,60.9%,41.2%,57.7%,32.0%
339,tomas berdych,R,196.0,20.0,27.0,15.0,0.371824582959108,0.23158444678052523,0.3634170356392578,0.615461493239271,0.8435266337390522,0.6093931988409894,60.666666666666664,0.6712860932018563,,,,,,,,,,
340,florian mayer,R,190.0,69.0,17.0,2.0,0.33492529726720044,0.1819866622885199,0.3421611068669893,0.5896661216320659,0.6769361099856457,0.5916736182414825,80.17647058823529,0.5851104601581882,,,,,,,,,,
343,julien benneteau,R,185.0,58.0,19.0,8.0,0.3483024891509814,0.16990604854381947,0.37700888722560544,0.581373833424917,0.7429167285469224,0.5827820174438633,49.1578947368421,0.5993422003680532,,,,,,,,,,
349,philipp kohlschreiber,R,178.0,29.0,49.0,24.0,0.35144475400917913,0.19787320215781073,0.40619055761533807,0.5938611543606173,0.8103754370458419,0.6168083302941724,63.08163265306123,0.6533628772177063,135.8,27.8%,48.9%,19.6%,39.5%,198.2,63.8%,39.5%,47.1%,47.8%
355,gilles muller,L,193.0,25.0,26.0,9.0,0.3131208747552241,0.1123037241086052,0.2675570689993767,0.5567876567876566,0.8230746020761758,0.6176079440576481,74.53846153846153,0.6631869502083472,,,,,,,,,,
357,gael monfils,R,193.0,39.0,48.0,28.0,0.369414497849404,0.23450289101330765,0.4686504178691679,0.5838358127009443,0.7833014865243926,0.6649100192081473,62.333333333333336,0.634463211588321,147.0,30.6%,46.9%,23.1%,46.4%,207.2,58.4%,46.4%,52.4%,50.0%
361,guillermo garcia lopez,R,188.0,70.0,40.0,16.0,0.35583705681297556,0.20103377627274685,0.4257230344904494,0.5372150398620986,0.7472342730798615,0.6062868519349317,58.0,0.6206990762230182,,,,,,,,,,
