,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang
0,richard krajicek,R,196.0,60.0,41.0,0.3851312534028414,0.2531432785051206,0.4308728390346037,0.6013741351241353,0.8991161949648792,0.6065308592886823,64.11666666666666,0.7116288901498493,10.0
1,thomas enqvist,R,190.0,70.0,45.0,0.39746542901224097,0.2740074741711185,0.45960406058643183,0.5454756667726594,0.8133559927467492,0.5682086469924522,54.58571428571429,0.6563554198514652,4.0
12,magnus larsson,R,193.0,31.0,15.0,0.37498773012985426,0.231259464252005,0.35699358094993766,0.5702514779127682,0.8078550692976081,0.6250233159839506,69.83870967741936,0.6418348836735441,95.0
14,kenneth carlsen,L,190.0,31.0,13.0,0.3767237671560952,0.2363802895673963,0.39860184618249134,0.5322058739278852,0.7825992814957162,0.595138038123742,67.54838709677419,0.6435990121244772,85.0
15,todd martin,R,198.0,57.0,40.0,0.37043462931265275,0.21606782039982425,0.3832663411549675,0.6028666752350964,0.8612190757962305,0.6270359427881272,74.52631578947368,0.6827734354872909,7.0
17,cedric pioline,R,188.0,65.0,36.0,0.36698365831262797,0.22713720471646787,0.40608045800353476,0.5975508393283331,0.7724778512486556,0.5385845869063336,75.8923076923077,0.6275170103551344,13.0
19,richard fromberg,R,196.0,31.0,15.0,0.3439396002711644,0.16432232062687468,0.29588247773731646,0.5319933439952415,0.786914072238151,0.6028733926763076,87.58064516129032,0.636365324110924,78.0
20,magnus gustafsson,R,185.0,40.0,22.0,0.38035674337697145,0.24644228198272322,0.4599734701572936,0.5422163253413255,0.7761798964923966,0.6256213724328938,70.275,0.6338837569355305,60.0
25,gianluca pozzi,L,180.0,40.0,15.0,0.3647708000195581,0.20476510532238085,0.37895007404875825,0.5330958478655848,0.724200434863554,0.4952278213227007,79.75,0.6152825821270934,94.0
27,jan siemerink,L,183.0,39.0,15.0,0.33389527036214517,0.1580604580604581,0.32596015096015096,0.5670642036026653,0.7838900972680236,0.5471185054586941,95.94871794871794,0.6293659692549246,88.0
31,marc rosset,R,201.0,51.0,24.0,0.35553204173763114,0.20217154529438264,0.37046867012264945,0.5855873973521033,0.7954482672908276,0.5354002401123763,89.3529411764706,0.6373685799007355,45.0
37,goran ivanisevic,L,193.0,47.0,21.0,0.3248282688380219,0.16670480472107504,0.3433016920501276,0.5393393249776229,0.7892495489491734,0.5391685738531524,73.53191489361703,0.6470798465947721,62.0
42,fabrice santoro,R,178.0,60.0,36.0,0.39541849756488795,0.27803055005996175,0.4199471361971362,0.5910230709740515,0.7476346136103167,0.5820369865425709,69.85,0.6075971931124663,34.0
45,jeff tarango,L,180.0,45.0,21.0,0.38949364346754356,0.26904439668423147,0.443769440436107,0.5766983941983942,0.7209822768104501,0.6109188878039079,76.77777777777777,0.5958468489227546,55.0
60,michael chang,R,175.0,49.0,27.0,0.4075859012438532,0.28307670989480554,0.41784624307686163,0.523402787688502,0.7786145245731709,0.5646206236110457,73.06122448979592,0.6344707739025243,50.0
66,pete sampras,R,185.0,46.0,38.0,0.3703578787483924,0.22360467778508558,0.43986962376550487,0.5530668003494091,0.8916880887990724,0.5919856373052458,76.76086956521739,0.708336161282177,3.0
67,andrei medvedev,R,193.0,39.0,20.0,0.3997873790536411,0.26565178658728367,0.38163948355337096,0.6251402443710137,0.7378975103909613,0.5430820293373131,79.38461538461539,0.6072932242672269,30.0
74,wayne ferreira,R,185.0,51.0,27.0,0.36294982323634156,0.19722715182634443,0.35933290565643505,0.5515830574654104,0.7964336317277494,0.5377515290462458,73.49019607843137,0.6445483157709606,53.0
78,jim courier,R,185.0,48.0,29.0,0.36766596568835097,0.20381407342125046,0.38263628392304877,0.5973742114367114,0.8424050578222572,0.656963799294611,64.79166666666667,0.6824067208673853,32.0
85,david prinosil,R,185.0,44.0,21.0,0.36988412537888443,0.22606915700164362,0.37829840613931515,0.5616481372163191,0.7839397604771938,0.5100614069406983,120.29545454545455,0.6363521180748083,66.0
93,andre agassi,R,180.0,73.0,62.0,0.4345162604514779,0.36724161437094555,0.4978014358746936,0.5983661475910935,0.8886165417088059,0.6153253754438903,66.34246575342466,0.6963686343213983,1.0
98,francisco clavet,L,183.0,56.0,30.0,0.39415309596285814,0.2834878797216668,0.4048337921929136,0.526018373703303,0.757040642001708,0.6334992514648886,73.82142857142857,0.6176643985153875,38.0
100,alex corretja,R,180.0,55.0,33.0,0.39295690161597213,0.26555330767053253,0.41625344352617094,0.5783025441581592,0.7872975469506567,0.5420319829267657,53.872727272727275,0.6311201556631002,26.0
109,alberto berasategui,R,173.0,39.0,20.0,0.40892374050749625,0.2974916371916952,0.420384972438725,0.5266248286699585,0.672761085876191,0.7678670056310544,56.282051282051285,0.5776342023103336,61.0
112,ronald agenor,R,180.0,6.0,1.0,0.3283498146373417,0.19684343434343435,0.4375,0.5468253968253969,0.7108164983164983,0.7088355721210204,46.0,0.5769987961916992,96.0
116,jason stoltenberg,R,185.0,35.0,17.0,0.3965030917914417,0.26153886277324356,0.39836116264687693,0.6426827141112856,0.7515950078217158,0.5587604470702691,72.37142857142857,0.6253201307597248,80.0
120,younes el aynaoui,R,193.0,49.0,26.0,0.3806981594751039,0.2557922847530796,0.4327843691589188,0.6052059052059052,0.8159284294891167,0.5952031613997023,63.36734693877551,0.648758002027951,33.0
121,slava dosedel,R,183.0,27.0,15.0,0.414257060331067,0.31060316048238756,0.4531735421441304,0.6045899573677351,0.7193563352806035,0.66422115969933,77.55555555555556,0.606817231950872,63.0
122,byron black,R,175.0,45.0,24.0,0.3913408689853247,0.2694345483539856,0.3744934525017084,0.572207395096972,0.7568190839503715,0.5911823207285779,103.24444444444444,0.621857470119708,65.0
123,andrea gaudenzi,R,183.0,24.0,11.0,0.40929348523400955,0.3088022175193228,0.44338092463092454,0.5856826622451622,0.6580618251574134,0.6535359230873171,67.29166666666667,0.568323862506296,84.0
124,patrick rafter,R,185.0,49.0,33.0,0.403388369882951,0.2956168164901658,0.45042007005581897,0.4925249353820782,0.8504120175195127,0.6496350003706608,58.142857142857146,0.683641267322915,16.0
125,daniel vacek,R,190.0,59.0,28.0,0.3710775893316399,0.2363023447694435,0.40850336104573387,0.6223969406605706,0.7505963330056842,0.5745084902758624,81.33898305084746,0.6135391107646563,43.0
127,greg rusedski,L,193.0,64.0,40.0,0.3599312079129072,0.2038614031253833,0.3620229427124807,0.593448153409091,0.8692842610605769,0.5843977106486092,62.984375,0.696441565984193,14.0
128,fernando meligeni,L,180.0,51.0,26.0,0.4034539054436683,0.3062107682782423,0.42923963434799345,0.5337578543460896,0.7424105698195513,0.5878021321029044,59.568627450980394,0.6220428558425697,29.0
129,jonas bjorkman,R,183.0,47.0,24.0,0.40294113240616486,0.27165891429856254,0.40754780263541196,0.6095079861037306,0.7668925970245054,0.5828682146428948,79.74468085106383,0.6163223995836302,73.0
131,yevgeny kafelnikov,R,190.0,84.0,56.0,0.3959589677376073,0.2885101441813232,0.4476214096749811,0.5564071900178712,0.7837533074341336,0.5605668715660832,64.14285714285714,0.6402477278910719,2.0
