,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang
139,karim alami,R,185.0,48.0,26.0,0.40291678748368076,0.2966033403122219,0.4313682181788798,0.5612012987012988,0.7517030423280423,0.5751347355946258,58.354166666666664,0.6155339115494581,31.0
140,albert costa,R,180.0,59.0,39.0,0.3940059126059664,0.27736499265661785,0.42191066936829646,0.5153457653457654,0.8107968551886795,0.6587382435182889,61.355932203389834,0.6536278638581741,18.0
144,karol kucera,R,188.0,59.0,38.0,0.433652378039808,0.35084520371094857,0.49220891366887587,0.49104022154869625,0.7822097472521199,0.5820103291664281,47.355932203389834,0.640040127811605,17.0
148,vincent spadea,R,183.0,57.0,31.0,0.4009188223028303,0.28551537641982744,0.4831837910398282,0.5226350813004469,0.7506337154110522,0.5262163702264537,58.75438596491228,0.6199572857485965,20.0
151,christian ruud,R,188.0,38.0,21.0,0.41698956205779353,0.309297104638884,0.3926262140851924,0.49655022694883383,0.687289604078141,0.6139036593436796,86.28947368421052,0.5773479356410646,67.0
154,marcelo rios,L,175.0,60.0,44.0,0.4116390308770894,0.31073131495765766,0.4307512255216353,0.5388362794612794,0.7781229463678312,0.5602590509569064,74.35,0.6374792228726599,9.0
162,sjeng schalken,R,193.0,53.0,27.0,0.3993079101747812,0.2846739673570972,0.45744933925172254,0.49679234157128044,0.7230146539857972,0.6198843666194408,62.716981132075475,0.6072689865111855,44.0
166,adrian voinea,R,185.0,31.0,12.0,0.3784629381712356,0.22856843927918924,0.4465775217048561,0.47957026467213226,0.727113840945208,0.5427693736321193,61.03225806451613,0.6081043085733608,100.0
168,mark philippoussis,R,196.0,46.0,31.0,0.3516798518249473,0.19171185110526817,0.3691262240175284,0.607994541690194,0.8670545257054207,0.5773767902102118,84.8913043478261,0.6779700737645828,19.0
169,hernan gumy,R,188.0,29.0,13.0,0.3956600346975944,0.29203005485856715,0.4125526293629742,0.5335331729347956,0.6796023211778569,0.6406085187015138,78.06896551724138,0.5833803468461511,68.0
170,jiri novak,R,190.0,52.0,28.0,0.4019927791976911,0.27298754013108223,0.4473163227546711,0.5388383879192703,0.7628765408986113,0.6248866832275006,54.48076923076923,0.6160901471538899,40.0
172,carlos moya,R,190.0,58.0,35.0,0.4002161152242864,0.2827144372178628,0.38919531642988997,0.592015576235444,0.7409193871855343,0.5326889834215383,71.34482758620689,0.5993300023027066,23.0
176,jerome golmard,L,188.0,30.0,19.0,0.38035127205576286,0.26217060172942525,0.4086672489304068,0.4650793650793651,0.7786283623783624,0.5809544381351756,47.96666666666667,0.6354160927113722,35.0
179,tim henman,R,185.0,67.0,40.0,0.4054519964715115,0.27567147751321613,0.4320031229110059,0.588336411174427,0.8105671161763915,0.5443343149229249,63.208955223880594,0.6459144302195101,12.0
180,felix mantilla,R,180.0,51.0,31.0,0.4063950710555146,0.31595058693413314,0.49130501851090075,0.5904435755601299,0.766825830257394,0.5556187569197473,68.29411764705883,0.6218306720456606,22.0
181,mikael tillstrom,R,185.0,27.0,11.0,0.3562196899215666,0.21191411469189245,0.37659259464815026,0.565658730037815,0.6459054320165433,0.5993186795627052,52.77777777777778,0.5620346988648817,79.0
182,nicolas lapentti,R,188.0,71.0,50.0,0.4043371897312571,0.3051128475838501,0.40255941126902184,0.6443893340848607,0.7939175117415274,0.6179290856356587,71.90140845070422,0.6384227556943521,8.0
184,chris woodruff,R,188.0,32.0,16.0,0.3758404779814535,0.2465744540253012,0.3817539690701456,0.550002775002775,0.7781661939979957,0.6033210549338266,51.875,0.638130493003218,51.0
185,thomas johansson,R,180.0,43.0,20.0,0.372000447557478,0.22227615392993366,0.38333643101084963,0.5468521822254993,0.7642962923229681,0.48878931518698665,81.20930232558139,0.6299863769450378,39.0
187,hicham arazi,L,175.0,52.0,26.0,0.3691678898311237,0.23628149357191977,0.4125957109130185,0.5607587548198408,0.6995253198813571,0.5565534697819613,48.71153846153846,0.591655484855769,36.0
189,galo blanco,R,173.0,29.0,11.0,0.3459405537595029,0.21266559111386701,0.38867119470567746,0.5121612104370725,0.7419126658781832,0.5333047715268668,92.62068965517241,0.6187450249058841,75.0
191,dominik hrbaty,R,183.0,64.0,37.0,0.4040631247117652,0.30315974153989667,0.49456214714293284,0.5666925522394274,0.7819453860978997,0.5348838644557697,74.609375,0.6374058529820462,21.0
193,gustavo kuerten,R,190.0,69.0,46.0,0.3918378788283043,0.2777560319451234,0.5044624055493621,0.5427277432712216,0.8217285070156748,0.5297044533167338,52.11594202898551,0.6594704071825604,5.0
194,magnus norman,R,188.0,63.0,42.0,0.4210768331225309,0.3381488619793943,0.4326742450821028,0.6066247318788658,0.8157999488321616,0.5734957783977617,72.19047619047619,0.6506338309489591,15.0
196,sargis sargsian,R,180.0,41.0,20.0,0.3895159954152048,0.2612769361240252,0.38589093036725736,0.6144380615818358,0.7584963267390246,0.6181632038551509,80.51219512195122,0.6151932488917746,59.0
198,mariano zabaleta,R,183.0,56.0,27.0,0.3666007936941315,0.2238065535071838,0.34920942153085,0.5269694767919332,0.7385861366691199,0.5322859888494864,56.05357142857143,0.608113378897846,28.0
200,albert portas,R,188.0,30.0,12.0,0.39152762562065746,0.2686216561216561,0.423504181004181,0.47134361825538296,0.6647851685351684,0.6047505041260022,81.83333333333333,0.5715639219435384,90.0
201,franco squillari,L,183.0,42.0,18.0,0.3857441598088242,0.2711492211492212,0.4476635311221777,0.4745651202949339,0.6831804905334319,0.5991813392923537,75.52380952380952,0.5813353611735913,52.0
202,tommy haas,R,188.0,60.0,39.0,0.3630084850779799,0.23218342344503334,0.41121830103447743,0.6082288231920585,0.8195788422527551,0.5312760891480591,67.96666666666667,0.6473503802912643,11.0
203,nicolas kiefer,R,183.0,66.0,46.0,0.4098937007641424,0.3121753227227474,0.4516734948553131,0.606176273221728,0.8061646625494228,0.5118823806424541,77.6969696969697,0.6422234897309101,6.0
204,andrei pavel,R,183.0,51.0,28.0,0.38519406263992995,0.2554506767742062,0.39870233252586196,0.5317011849519591,0.7459068827355271,0.6800280999734413,88.84313725490196,0.6203982092101826,41.0
205,jens knippschild,R,190.0,25.0,10.0,0.36044404304339667,0.20151587301587306,0.36519769119769124,0.5567351537351537,0.7567181210602265,0.48136252994335615,61.0,0.6175650660413691,91.0
208,juan antonio marin,R,175.0,40.0,19.0,0.39143772109759484,0.2696677627927628,0.46447775672040387,0.5668857038429407,0.679502199189699,0.5577206209801451,99.55,0.5784899103579879,70.0
211,justin gimelstob,R,196.0,39.0,15.0,0.36095855983963115,0.21314931132744896,0.40150746689208233,0.5879018417479955,0.7836373279812193,0.5928403582152999,81.2051282051282,0.6276450006332251,82.0
212,fernando vicente,R,180.0,52.0,25.0,0.4145186115793194,0.30793777922493876,0.43454139343562426,0.5216719350910527,0.6939285834262771,0.5986524964961407,73.76923076923077,0.5939164718558415,49.0
214,arnaud clement,R,173.0,44.0,19.0,0.3924501483259265,0.2726507469881027,0.42771874735226273,0.5617981506016266,0.7166126259801311,0.5539988446296914,48.97727272727273,0.5961850504043198,56.0
215,nicolas escude,R,185.0,33.0,18.0,0.3832621051937984,0.25163221854398327,0.4364715251078887,0.5367987132693015,0.7575187354732809,0.574815223085862,53.42424242424242,0.6230843191137182,37.0
218,daniel nestor,L,190.0,32.0,17.0,0.3470046960034341,0.2134943615412365,0.3659851615854906,0.5972843996281497,0.8117272461907719,0.5958661912928811,63.5625,0.6501920130471648,86.0
219,jan michael gambill,R,190.0,49.0,24.0,0.3692764067373031,0.23583838521726727,0.4506176929646317,0.5672566662362583,0.8039190324814574,0.5532324704772232,93.83673469387755,0.6461253901612519,58.0
223,jacobo diaz,R,173.0,3.0,0.0,0.3690296631473102,0.16127946127946127,0.3611111111111111,0.4245014245014245,0.4962962962962963,0.6104246897732135,30.0,0.5008451005562687,92.0
225,john van lottum,R,185.0,39.0,18.0,0.3742768899009242,0.23483131540823848,0.46010214856368703,0.6005055922096211,0.7157719429891376,0.5265457686496904,109.12820512820512,0.6000731132806314,69.0
226,guillermo canas,R,185.0,35.0,14.0,0.3993050422585523,0.2654621314439979,0.4239423694885881,0.6129436016830975,0.7057529892503356,0.5790721038735392,78.25714285714285,0.6050431769756939,71.0
227,marat safin,R,193.0,65.0,36.0,0.3714029827015735,0.22420059119842725,0.36879641725795564,0.5238061938061939,0.7755757907251122,0.49285108899516944,63.03076923076923,0.6372906979952138,24.0
229,sebastien grosjean,R,175.0,58.0,33.0,0.39311786943483507,0.2625898600508296,0.39534866099267724,0.5532547934077241,0.767117794589904,0.5705616956382783,78.72413793103448,0.6249727644873627,27.0
230,andrew ilie,R,180.0,53.0,27.0,0.36340965485958526,0.2132117811815491,0.36531236059537947,0.597150223227973,0.7462068145198002,0.5468699293163708,89.13207547169812,0.6074596664846259,54.0
233,arnaud di pasquale,R,185.0,50.0,24.0,0.40708503170109833,0.30330510648622117,0.464427742755329,0.5221791278037408,0.6912208308547316,0.6080509831613102,84.44,0.5908185704443981,47.0
235,lleyton hewitt,R,180.0,57.0,40.0,0.42672573078117165,0.34468020283809764,0.48651937730885086,0.5783266441161179,0.8154609367029928,0.5885915251759656,56.35087719298246,0.6503400695677201,25.0
236,stefan koubek,L,175.0,53.0,29.0,0.39681475330973304,0.2744055472829058,0.40412161060052293,0.547502235709783,0.7182994154692267,0.5872745938172403,87.26415094339623,0.6076949443240297,46.0
237,laurence tieleman,R,180.0,30.0,11.0,0.3199533451272508,0.13249438524438525,0.33097476597476594,0.4976010101010101,0.7560407185407185,0.5384906500565964,102.46666666666667,0.6261560080207061,87.0
238,rainer schuettler,R,180.0,50.0,23.0,0.39916810532315244,0.2898181263181262,0.4187890997890997,0.5600336330336332,0.6888723936881831,0.5805295639567567,83.12,0.5873574254237119,48.0
239,cecil mamiit,R,173.0,33.0,15.0,0.39670744496653737,0.27203578956543384,0.3797364330012796,0.4927558824617648,0.6712969046763515,0.5759620137839894,93.15151515151516,0.5827513402356734,93.0
240,alberto martin,R,175.0,47.0,26.0,0.3991733474361716,0.292994522585788,0.42716284897135953,0.5828553864948043,0.7250501500270947,0.673913829045077,101.31914893617021,0.5988953460714284,57.0
241,gaston gaudio,R,175.0,22.0,7.0,0.40743032434655735,0.30631299227265285,0.42252803901257746,0.5202620389117715,0.6114908461426714,0.5885682460750463,62.04545454545455,0.5579833677313253,72.0
242,markus hipfl,R,178.0,28.0,13.0,0.4198670972534062,0.3375414763807621,0.40036312893455756,0.39627866298034364,0.7117718590932878,0.6594436584172386,99.89285714285714,0.6148199718567179,76.0
244,juan carlos ferrero,R,183.0,22.0,14.0,0.41943091989473325,0.3412702706415765,0.40104428770872613,0.5787573537573537,0.7344310064564076,0.694357960526026,71.13636363636364,0.6172970654747364,42.0
246,paul goldstein,R,178.0,24.0,10.0,0.4076008463290474,0.2913125108004971,0.4429965566768972,0.5676256613756613,0.6934932818156502,0.6287500156150005,56.833333333333336,0.5780074233975333,89.0
247,ivan ljubicic,R,193.0,20.0,9.0,0.3543189961643114,0.1969312550194903,0.3303389665889666,0.67495670995671,0.7653211371961371,0.5677120238044109,125.05,0.6284551546577347,77.0
249,roger federer,R,185.0,21.0,10.0,0.3601873604874325,0.2097101972101972,0.396031746031746,0.500686941443244,0.7611122792754141,0.5826124709865349,32.95238095238095,0.624428715964536,64.0
250,antony dupuis,R,185.0,16.0,7.0,0.3414773086266349,0.18164702434003904,0.4551745129870129,0.7115394154456653,0.7802411589635854,0.5991251847823811,65.75,0.6392098693062269,83.0
251,max mirnyi,R,196.0,22.0,10.0,0.32980664104536045,0.15024135475338685,0.34461437685121893,0.5745496840324426,0.7905525403467284,0.5809085451876733,46.77272727272727,0.6387614922277703,74.0
252,george bastl,R,183.0,10.0,4.0,0.36780586747326194,0.23869047619047623,0.40164835164835166,0.554295353769038,0.7494173881673882,0.6343946848269079,106.7,0.6129875439544252,81.0
257,andreas vinciguerra,L,180.0,12.0,7.0,0.43221308343096876,0.3376503126503127,0.3642236235986236,0.5343163780663781,0.7512205387205388,0.6091190183931029,60.5,0.6404733617875817,98.0
258,paradorn srichaphan,R,185.0,13.0,7.0,0.37518522613248945,0.2092634489693313,0.34137529137529143,0.38657731157731157,0.7603684776761701,0.5428280876583017,53.92307692307692,0.6340891629183952,99.0
