,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,rang
286,nikolay davydenko,R,178.0,86.0,56.0,0.4254253085353908,0.32663346495425827,0.5052757400118622,0.5466801008049479,0.7824450488711775,0.6737444370572387,63.69767441860465,0.6356105388845523,163.2,0.34600000000000003,0.537,0.311,0.43799999999999994,4.0
288,albert montanes,R,175.0,45.0,21.0,0.34871017689197625,0.20412794177500057,0.3639143572476906,0.5550358965271247,0.7360277014198584,0.6030335203889988,80.17777777777778,0.6107128798218245,132.8,0.28,0.484,0.203,0.361,46.0
289,david nalbandian,R,180.0,48.0,31.0,0.3971867841123036,0.27263027923017485,0.44672887562786934,0.5987676369110192,0.8094895680851061,0.5711513749249747,47.9375,0.6418054153854079,151.6,0.289,0.55,0.263,0.414,9.0
290,james blake,R,185.0,70.0,48.0,0.3885249496924776,0.26234314962643135,0.45959817959817967,0.5481588043142666,0.8445365649553628,0.5793754572763966,71.17142857142858,0.6696218988037467,150.1,0.289,0.536,0.25,0.426,13.0
292,michael llodra,L,190.0,36.0,18.0,0.35513242943386586,0.19190944695330658,0.3505618609785276,0.6377941502941502,0.8250261061402365,0.6269413066503134,63.72222222222222,0.6705762743286965,126.1,0.273,0.46299999999999997,0.177,0.348,93.0
296,fernando gonzalez,R,183.0,53.0,33.0,0.36944381372919793,0.22770105686967074,0.43453825497023113,0.5437223154204285,0.8181370462782928,0.6365242505221629,54.735849056603776,0.6534982056817789,144.8,0.28600000000000003,0.518,0.225,0.419,7.0
297,jarkko nieminen,L,185.0,62.0,35.0,0.403036602588005,0.2891805700916084,0.4230401154212699,0.51278923216779,0.7822810332102057,0.6601345011398634,73.62903225806451,0.6345570159781985,151.9,0.313,0.537,0.271,0.39799999999999996,27.0
298,feliciano lopez,L,188.0,51.0,27.0,0.3288191909406665,0.16326987762973919,0.37287723170076104,0.5332963877081527,0.8309204262779809,0.5970905110544834,85.62745098039215,0.6613530094307853,121.8,0.254,0.44299999999999995,0.145,0.376,35.0
306,paul henri mathieu,R,185.0,71.0,47.0,0.4001638104606022,0.28310284529106733,0.45375027485632297,0.6085755793502272,0.8222824262783056,0.5582957300599496,55.11267605633803,0.6540959944953718,,,,,,25.0
307,jurgen melzer,L,183.0,46.0,22.0,0.363931355099919,0.22034304676568103,0.4099525101922799,0.5728345627802149,0.7553073170080843,0.630686988501637,83.1304347826087,0.6143172460991534,138.9,0.3,0.47100000000000003,0.225,0.39299999999999996,60.0
308,luis horna,R,180.0,28.0,12.0,0.3467702704884394,0.20324912190983618,0.4733457019171305,0.48270152988198106,0.7861570822967882,0.6914376430897216,64.25,0.6289726862624357,141.0,0.29600000000000004,0.48,0.225,0.409,73.0
309,david ferrer,R,175.0,82.0,60.0,0.4455809883008576,0.38728452309443817,0.5228915606002753,0.5485930397515764,0.8000797216618781,0.655426403348888,49.81707317073171,0.63778269148403,176.3,0.34600000000000003,0.5710000000000001,0.361,0.485,5.0
313,radek stepanek,R,185.0,45.0,23.0,0.3662329010773698,0.2398184595392609,0.42520232204442726,0.6037424878229477,0.8474741147204917,0.6256275291041251,50.17777777777778,0.6771035883014892,141.5,0.29,0.48100000000000004,0.22399999999999998,0.42,30.0
315,mardy fish,R,188.0,45.0,24.0,0.35722028659642663,0.2138297971951223,0.3973536340203007,0.4950800434133766,0.8078460954441347,0.52241278912083,62.977777777777774,0.6653322138178379,133.8,0.257,0.489,0.192,0.4,39.0
319,mario ancic,R,196.0,23.0,13.0,0.3544505498322156,0.21989716733962258,0.4087513935340022,0.4637760789934703,0.8246964161791924,0.6350654512903608,76.3913043478261,0.6798345391292908,,,,,,83.0
326,rafael nadal,L,185.0,90.0,74.0,0.4253980654296544,0.34431642824298475,0.4388652917716382,0.5489660158287607,0.8627911088389242,0.6761621881691152,51.6,0.6854487985352464,166.2,0.345,0.545,0.33,0.442,2.0
327,filippo volandri,R,183.0,46.0,21.0,0.40884717600849013,0.3206857635118504,0.5243244678027287,0.43738121781600037,0.6323499218808142,0.6760428795597851,79.45652173913044,0.5685002489221367,164.8,0.33399999999999996,0.517,0.312,0.485,40.0
329,victor hanescu,R,198.0,13.0,6.0,0.37441905326761726,0.19575171560465682,0.28727106227106225,0.488941613941614,0.8347551392800263,0.7370954594032978,49.53846153846154,0.6937182333728381,,,,,,76.0
330,oscar hernandez,R,180.0,25.0,7.0,0.33174929558646327,0.1787759234229822,0.3448218448218448,0.4947589486536855,0.6733619354501709,0.6382955224917596,59.08,0.5772090215079657,,,,,,58.0
331,ivo karlovic,R,208.0,64.0,42.0,0.29248585784487957,0.10379450572235495,0.30319264069264074,0.5402901785714286,0.944912384388487,0.6875533823080244,67.09375,0.74843971404348,103.6,0.222,0.415,0.098,0.301,22.0
332,robin soderling,R,193.0,39.0,23.0,0.40201445879482745,0.28995143103363313,0.45806081383004466,0.5332954417796048,0.8258449346307566,0.6200254578183144,38.97435897435897,0.660427382939007,151.6,0.321,0.503,0.255,0.43700000000000006,41.0
333,richard gasquet,R,185.0,70.0,47.0,0.4061334364394262,0.3126921060603327,0.45619386915605403,0.5219205199562342,0.8143164019401455,0.6160085154078367,62.785714285714285,0.6653556447256064,157.0,0.33,0.503,0.284,0.45299999999999996,8.0
335,werner eschauer,R,188.0,22.0,8.0,0.3296043534372395,0.1553925797909755,0.460271546635183,0.5111471861471862,0.7333890300133615,0.5895035616600018,113.5,0.6118569376594137,,,,,,66.0
336,igor andreev,R,185.0,53.0,28.0,0.3783508112626257,0.2401464605528803,0.40888581451844486,0.5455665141985895,0.7878756225374017,0.679585307890886,53.79245283018868,0.6407453711371406,142.9,0.306,0.496,0.22899999999999998,0.39799999999999996,33.0
338,fernando verdasco,L,188.0,59.0,33.0,0.3824171117762603,0.2507865279176346,0.3730698292512848,0.5345466694774036,0.7999801184746349,0.7237100155921985,72.10169491525424,0.6513756995382507,145.6,0.312,0.496,0.242,0.406,26.0
339,tomas berdych,R,196.0,63.0,41.0,0.37795696385725025,0.2697795034705886,0.44290520363054636,0.5692395347157253,0.8530866166720507,0.5815654898988976,59.79365079365079,0.6822153783607192,147.1,0.278,0.523,0.24,0.43,14.0
340,florian mayer,R,190.0,44.0,18.0,0.3744717174715753,0.2546843938889394,0.38865207758748427,0.42514385866658594,0.7131719208547274,0.6171071821569535,100.70454545454545,0.6075178050171655,147.0,0.294,0.51,0.253,0.413,55.0
342,dmitry tursunov,R,185.0,51.0,29.0,0.36008211552080416,0.20917843193384994,0.4158760949418388,0.47785972197736887,0.8054696614453488,0.5612742102130219,77.25490196078431,0.6536770222657495,135.7,0.27899999999999997,0.493,0.19699999999999998,0.38799999999999996,34.0
343,julien benneteau,R,185.0,51.0,22.0,0.37191281944850557,0.22960057030878456,0.3719284800167153,0.5375599618246677,0.7295787129697162,0.6452388363894184,71.07843137254902,0.6139356683549753,140.0,0.298,0.48700000000000004,0.23,0.385,68.0
346,thierry ascione,R,188.0,5.0,1.0,0.3054972893225973,0.07246753246753246,0.13444444444444445,0.399047619047619,0.7560314685314686,0.683534910967375,179.2,0.6301822465328765,,,,,,94.0
347,potito starace,R,188.0,50.0,25.0,0.35712360869090104,0.22022322646393858,0.4099866310160426,0.5720135841170324,0.7807271894771894,0.719433027743873,77.64,0.6290479486949085,138.5,0.295,0.478,0.21600000000000003,0.396,31.0
348,juan monaco,R,185.0,60.0,41.0,0.4113455185209911,0.3147745675377254,0.4888906871995109,0.5445317264434911,0.7913237263682312,0.6519410205911517,94.93333333333334,0.6472457941695712,165.0,0.324,0.542,0.307,0.47700000000000004,23.0
349,philipp kohlschreiber,R,178.0,59.0,33.0,0.3870487809388173,0.25236472236918267,0.4221629718284491,0.4940940885856141,0.7946588842388285,0.6009300666124182,71.01694915254237,0.6380611246187982,141.9,0.298,0.509,0.226,0.386,32.0
350,nicolas almagro,R,183.0,60.0,33.0,0.3789264260595988,0.25865441040441045,0.4291439347689349,0.5603072853072854,0.8076489482739483,0.6100601751828328,83.23333333333333,0.6558973830352947,145.0,0.306,0.49700000000000005,0.245,0.402,28.0
351,kristof vliegen,R,193.0,39.0,14.0,0.3500235814266767,0.20349833356203917,0.4082785448170064,0.5166475974168281,0.6836377925744442,0.6025958003770318,49.58974358974359,0.5904380175290534,136.4,0.28,0.479,0.195,0.41,98.0
356,nicolas mahut,R,190.0,44.0,23.0,0.3412685397587221,0.1765453352351748,0.39900386245552305,0.5949724517906337,0.8184686990309,0.5708738989678473,67.31818181818181,0.6502078111538406,130.0,0.257,0.48,0.17600000000000002,0.387,45.0
357,gael monfils,R,193.0,42.0,21.0,0.35135771558573625,0.19448468957992443,0.38475710019827664,0.5116085668717247,0.7883959540540654,0.5678150642912931,75.0,0.6464061639036462,130.5,0.306,0.447,0.196,0.35600000000000004,38.0
361,guillermo garcia lopez,R,188.0,38.0,15.0,0.3673686703681824,0.22059500086121397,0.4148409386599308,0.4799052555631502,0.7178529773460115,0.6294991678563304,64.71052631578948,0.5957200082388965,,,,,,90.0
364,janko tipsarevic,R,180.0,39.0,18.0,0.32418589263183917,0.16916546072892824,0.39920549535934147,0.5692159692159692,0.7373151493253847,0.5516416591060167,63.48717948717949,0.6165352154386318,132.4,0.244,0.495,0.183,0.402,52.0
365,marcos baghdatis,R,183.0,67.0,44.0,0.3915933356857958,0.26795475075396336,0.450831216875993,0.5810955993572324,0.8164716847803228,0.527952481783356,66.88059701492537,0.6497463724226047,152.5,0.315,0.507,0.261,0.442,16.0
367,stan wawrinka,R,183.0,48.0,25.0,0.37715377978828274,0.2409351990601991,0.3773607894012305,0.5493648712398712,0.790031500777164,0.5657151343261404,50.708333333333336,0.6329691651012955,141.1,0.298,0.495,0.22899999999999998,0.389,36.0
369,andreas seppi,R,190.0,42.0,18.0,0.3805095146876323,0.2544649755784209,0.4111276017788623,0.5386084710332831,0.7405618570442398,0.579096941205401,63.76190476190476,0.6113080692249608,149.8,0.29100000000000004,0.511,0.24100000000000002,0.455,50.0
370,florent serra,R,180.0,42.0,17.0,0.32897862099600966,0.15475141494049055,0.32573233644662214,0.5992557046128475,0.7870520294364834,0.625392142383316,68.38095238095238,0.6309939676200903,124.0,0.256,0.45299999999999996,0.161,0.37,92.0
372,andy murray,R,190.0,59.0,45.0,0.42888224758059224,0.3522412073593482,0.414844056143841,0.5126947440506763,0.811286158423037,0.5537021148230336,51.847457627118644,0.6478270634888549,160.1,0.34,0.545,0.318,0.39799999999999996,11.0
375,novak djokovic,R,188.0,82.0,64.0,0.4102622524477476,0.3131213503324214,0.44651053946389213,0.6156630632240389,0.8412191380168866,0.6417724509787764,59.91463414634146,0.6630164192836454,156.0,0.32,0.53,0.282,0.428,3.0
376,santiago ventura,R,183.0,5.0,2.0,0.3977072310405644,0.2936904761904763,0.5233333333333332,0.4005128205128205,0.6936904761904762,0.49594380747468064,41.6,0.5883876255816336,,,,,,87.0
377,juan martin del potro,R,198.0,50.0,26.0,0.38847470506978715,0.2723192108888703,0.43548662448662456,0.5506483516483519,0.7844973246567671,0.6258008953215386,72.7,0.6431250858604318,152.7,0.304,0.507,0.256,0.46,44.0
378,benjamin becker,R,178.0,53.0,22.0,0.3224766559863502,0.12911118201073804,0.2831726973236408,0.638925066730379,0.8126053219172933,0.5197618477304806,128.58490566037736,0.6435908189948374,111.0,0.239,0.46399999999999997,0.127,0.28,84.0
379,frank dancevic,R,185.0,34.0,15.0,0.33622023420586783,0.16008403525590742,0.33700833480245246,0.5652865516836104,0.7925794063177964,0.6010162612638594,79.3529411764706,0.6524932454216102,126.5,0.276,0.45299999999999996,0.175,0.361,72.0
380,gilles simon,R,183.0,62.0,35.0,0.4011680584576799,0.29053906001673907,0.47785908836002955,0.5726393543593683,0.7059570283683935,0.56858196390575,71.33870967741936,0.5918090904751326,161.2,0.322,0.531,0.28800000000000003,0.47100000000000003,29.0
382,carlos berlocq,R,183.0,23.0,9.0,0.3445171593590275,0.214357701122407,0.337466277683669,0.5491530208921512,0.6894439142840677,0.6187070469734303,161.34782608695653,0.5963977210700712,,,,,,85.0
