,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
1,thomas enqvist,R,190.0,24.0,57.0,34.0,0.4022907618173176,0.2754968173486993,0.4082546289732212,0.6114424074950392,0.7876512875412989,0.5397159650414385,69.49122807017544,0.6244147212980541,206.3,0.605,0.368,0.632,0.45799999999999996
3,todd woodbridge,R,178.0,54.0,5.0,1.0,0.37500815873156296,0.21388888888888888,0.39090909090909093,0.6502673796791444,0.6418128654970761,0.5954634643159233,52.8,0.5629883556113064,,,,,
12,magnus larsson,R,193.0,77.0,16.0,7.0,0.3306075695865123,0.14537012298024882,0.337603021978022,0.5407127594627595,0.7662021553325901,0.6365494999077628,47.8125,0.6342725715543273,,,,,
14,kenneth carlsen,L,190.0,69.0,11.0,5.0,0.3727122389076875,0.2501115046569592,0.31335608835608836,0.6857667584940312,0.7974858474858475,0.5505147205744847,55.81818181818182,0.6257429127449292,,,,,
15,todd martin,R,198.0,57.0,27.0,15.0,0.35261908792824204,0.1929096169154649,0.38597729431062766,0.5785739980184424,0.7707477112447875,0.604960259416123,59.148148148148145,0.6341062667494888,,,,,
17,cedric pioline,R,188.0,84.0,39.0,17.0,0.35803585918382413,0.19878103415552809,0.3828582386274695,0.6155232644099041,0.7569146815098233,0.5256211005643482,62.94871794871795,0.6192907302947958,201.8,0.611,0.37799999999999995,0.429,0.6
19,richard fromberg,R,196.0,88.0,8.0,1.0,0.31848753105363886,0.1539606227106227,0.4034722222222223,0.4806547619047619,0.6469093406593407,0.584424046377823,47.5,0.5749804283861184,,,,,
20,magnus gustafsson,R,185.0,82.0,36.0,18.0,0.3958187826050715,0.2843995487990586,0.4489918827541377,0.4951849847683181,0.7037760011411973,0.6134731570308826,107.11111111111111,0.6014219557251103,222.9,0.5820000000000001,0.442,0.5379999999999999,0.667
21,marcos ondruska,R,183.0,67.0,3.0,1.0,0.3185733940542055,0.11010284331518454,0.2388888888888889,0.5929951690821257,0.6196997195182313,0.5655807740036755,45.666666666666664,0.5330501437986502,,,,,
22,sergi bruguera,R,188.0,85.0,36.0,15.0,0.394972613592695,0.28156739249360513,0.371078237974018,0.5050110700845994,0.7142054247543155,0.5685609927284442,84.83333333333333,0.6046345743157647,161.2,0.57,0.38799999999999996,0.154,0.5
25,gianluca pozzi,L,180.0,41.0,26.0,7.0,0.3785122276677616,0.22321668715899487,0.40806832056832065,0.522598341829111,0.6889028511379073,0.4233827908524513,81.07692307692308,0.5916963244955056,145.4,0.598,0.35600000000000004,0.125,0.375
27,jan siemerink,L,183.0,57.0,29.0,12.0,0.3196945918057738,0.1437572679032058,0.28768846096432305,0.5640334761024415,0.7683902216810881,0.5293551976236853,117.0,0.6309603437652301,,,,,
31,marc rosset,R,201.0,29.0,34.0,11.0,0.32812899147716124,0.15189385777621073,0.40256320476908714,0.5607720806682746,0.7571947108063024,0.5596676399759976,101.38235294117646,0.6112744398341049,206.6,0.616,0.314,0.636,0.5
37,goran ivanisevic,L,193.0,12.0,45.0,26.0,0.3079303114709738,0.13527688739538693,0.35820185986852665,0.6306491656491657,0.8603307875856897,0.5630402953221236,54.24444444444445,0.6744802111952419,219.6,0.688,0.389,0.6,0.519
42,fabrice santoro,R,178.0,22.0,63.0,37.0,0.39499049003819475,0.2778752169538919,0.46092135377849647,0.5799120585495091,0.7129589776070107,0.5681052645458333,66.52380952380952,0.6008194977111688,223.2,0.6,0.43200000000000005,0.6,0.6
45,jeff tarango,L,180.0,45.0,6.0,0.0,0.30623654043517484,0.14413179413179414,0.4634615384615384,0.39999999999999997,0.5658730158730159,0.6189576091926997,31.333333333333332,0.5337614305325881,,,,,
60,michael chang,R,175.0,94.0,37.0,16.0,0.39709115186563704,0.2647777891064336,0.3837168969521911,0.5523165096694509,0.7129458748704274,0.5808722216131961,72.67567567567568,0.5981909467605908,166.6,0.55,0.366,0.5,0.25
66,pete sampras,R,185.0,10.0,52.0,35.0,0.35914612050332845,0.1886503739873237,0.4117044369723578,0.5367287124640066,0.8607856343235896,0.601211909821168,55.30769230769231,0.6834142241575545,231.2,0.648,0.355,0.625,0.684
67,andrei medvedev,R,193.0,58.0,24.0,9.0,0.3643295246377183,0.2160442720465099,0.35428821586909826,0.5678252303252302,0.6719718382522092,0.5900890182375608,68.0,0.5796332440196618,,,,,
74,wayne ferreira,R,185.0,62.0,38.0,16.0,0.3540649148397968,0.18924455515618524,0.3508764595435076,0.4578425229741019,0.7556976043952759,0.5328097221000643,55.21052631578947,0.6128463745023703,170.9,0.557,0.366,0.35700000000000004,0.429
85,david prinosil,R,185.0,38.0,29.0,7.0,0.33735281210808254,0.1688556260057274,0.37666131760959354,0.5444937696966093,0.6832076863274499,0.527858016265096,45.41379310344828,0.584896494932369,,,,,
93,andre agassi,R,180.0,3.0,60.0,45.0,0.4249248066984583,0.34167674022743694,0.43569414617517865,0.5606339085750851,0.8393903724271372,0.6630179594876712,56.81666666666667,0.6671368228790259,223.2,0.615,0.405,0.6920000000000001,0.52
96,renzo furlan,R,175.0,53.0,1.0,0.0,0.24489795918367346,0.0,0.0,0.4,0.625,0.4888888888888889,58.0,0.5333333333333333,,,,,
98,francisco clavet,L,183.0,51.0,49.0,22.0,0.385736807463546,0.2651849796476068,0.4105307890722057,0.5988533558611591,0.7596861755025021,0.6176242009567242,64.40816326530613,0.6279375436540411,185.1,0.593,0.425,0.5,0.33299999999999996
100,alex corretja,R,180.0,16.0,53.0,33.0,0.3979656282884925,0.2622381414048123,0.4172838515827299,0.5760421740323298,0.7532816063473899,0.4854893028997808,70.50943396226415,0.6164674081256208,228.0,0.623,0.386,0.591,0.68
116,jason stoltenberg,R,185.0,63.0,14.0,7.0,0.3863710163059026,0.26883012140365087,0.442478354978355,0.4066820084677228,0.7840771763250753,0.573963618819768,85.35714285714286,0.6419769233708541,,,,,
120,younes el aynaoui,R,193.0,38.0,59.0,36.0,0.37068684754249237,0.22271762512480572,0.3674998730083476,0.5154071806115675,0.8263810934815853,0.6328953920940531,102.13559322033899,0.6593872496298047,213.4,0.635,0.349,0.556,0.594
121,slava dosedel,R,183.0,66.0,18.0,3.0,0.3745966273421342,0.24155913530913534,0.40432098765432095,0.560186791765739,0.5637531977444258,0.6384917624714329,68.05555555555556,0.5348546746524749,,,,,
122,byron black,R,175.0,35.0,19.0,7.0,0.33846084045355596,0.19289175736544156,0.36954887218045107,0.4628654970760233,0.6936670055091106,0.6411763327169949,58.26315789473684,0.5930107459235756,,,,,
123,andrea gaudenzi,R,183.0,54.0,33.0,16.0,0.3868880422086973,0.23964907542447644,0.4097451510651012,0.5075713427986155,0.7110408951318041,0.5454273403931704,69.72727272727273,0.60829692131468,194.4,0.5920000000000001,0.35200000000000004,0.33299999999999996,0.667
124,patrick rafter,R,185.0,7.0,60.0,44.0,0.3879208784880806,0.2678739453993358,0.47288179413179415,0.5404605579605583,0.8753197873671523,0.6458316768275087,83.73333333333333,0.6879847954270665,226.5,0.633,0.423,0.529,0.68
127,greg rusedski,L,193.0,31.0,63.0,39.0,0.3685688132544033,0.21203938454110452,0.3666930071691975,0.5280016720492913,0.8682037896945369,0.588003931393836,66.80952380952381,0.6968745885647438,217.2,0.67,0.389,0.545,0.568
128,fernando meligeni,L,180.0,71.0,32.0,17.0,0.39625355885823443,0.2751419055230975,0.4025545634920636,0.5339758331945832,0.7596157360548809,0.5630773481049742,82.25,0.6247903799130157,208.8,0.637,0.395,0.5,0.556
129,jonas bjorkman,R,183.0,60.0,49.0,24.0,0.40012016637318154,0.26136989319175236,0.38389813134711087,0.5714165319807577,0.72859094520259,0.5873408554413635,63.775510204081634,0.6057558631355715,197.5,0.601,0.37799999999999995,0.308,0.688
131,yevgeny kafelnikov,R,190.0,4.0,97.0,69.0,0.3948269577798972,0.28436567155369735,0.45851887988031104,0.5676333689220288,0.7963972769956184,0.5201639889946885,65.79381443298969,0.6416021418636423,230.6,0.625,0.423,0.667,0.591
139,karim alami,R,185.0,55.0,20.0,5.0,0.3483866671004571,0.15634615384615386,0.3140489874110564,0.5602001103471691,0.6231412337662336,0.5685268973249293,63.2,0.562488289097422,,,,,
140,albert costa,R,180.0,40.0,48.0,26.0,0.39593405119797037,0.2825487800824811,0.41463068181818175,0.5658806335276924,0.7464516890834293,0.6636177082891684,64.83333333333333,0.6249298193067657,208.7,0.595,0.37799999999999995,0.467,0.647
144,karol kucera,R,188.0,75.0,25.0,11.0,0.40203327351897145,0.2845624865330748,0.4123630631494408,0.4223345543345543,0.6886192206486323,0.5548050308138969,55.56,0.5924546933656897,,,,,
