,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
249,roger federer,R,185.0,,61.0,51.0,0.4012011857264154,0.28399994726668654,0.45625954191527957,0.5927040172941813,0.9185493473026103,0.6466634078073807,46.26229508196721,0.7269615850239937,149.3,32.6%,50.0%,25.8%,40.9%,246.3,71.1%,40.9%,58.3%,76.0%
298,feliciano lopez,L,188.0,,27.0,12.0,0.3128255086272857,0.12379131037653944,0.30697133357714823,0.637389770723104,0.8453102909232043,0.5696528296695117,51.111111111111114,0.6607965743649444,,,,,,,,,,
309,david ferrer,R,175.0,,14.0,8.0,0.4165015187303828,0.31123737373737376,0.36283379319093606,0.5491496598639456,0.7710600907029479,0.6469934019662469,40.0,0.6268077596341008,,,,,,,,,,
326,rafael nadal,L,185.0,,64.0,57.0,0.4327374283686755,0.3743786065773537,0.45326446046804497,0.5493413270757022,0.9108435280160424,0.649069940203291,52.0625,0.7123397797065955,170.9,35.1%,55.8%,35.1%,44.9%,250.0,67.6%,44.9%,75.0%,62.5%
331,ivo karlovic,R,208.0,,21.0,7.0,0.24890605502806712,0.03736224897482504,0.15634920634920635,0.6050831443688586,0.9117175354990482,0.6425240788525629,77.0,0.7173180322426873,,,,,,,,,,
333,richard gasquet,R,185.0,,34.0,17.0,0.344297555000066,0.17450034346660645,0.3566603331309214,0.5778873951884332,0.7843278429567357,0.610325865438446,68.82352941176471,0.6364309483345061,125.2,27.6%,47.3%,17.6%,32.7%,217.5,63.6%,32.7%,54.5%,66.7%
338,fernando verdasco,L,188.0,,50.0,24.0,0.354488186760124,0.20326732639565454,0.37230370120076,0.6268400766759901,0.7972037691746938,0.6351812477919535,68.42,0.6347393281843255,136.7,28.8%,50.2%,21.7%,36.0%,194.8,66.7%,36.0%,50.0%,42.1%
339,tomas berdych,R,196.0,,17.0,9.0,0.3642903512470302,0.24038476901798703,0.4158211069975777,0.567236358412829,0.7922236260471555,0.5764080866062838,70.82352941176471,0.6377489750382703,,,,,,,,,,
349,philipp kohlschreiber,R,178.0,,41.0,20.0,0.35732179869031366,0.20091523072059958,0.34861263397848763,0.5257430239137558,0.8028530060641365,0.6217342841536956,66.8048780487805,0.6524141820306304,130.0,27.7%,48.8%,18.8%,34.7%,155.9,63.2%,34.7%,12.5%,45.5%
356,nicolas mahut,R,190.0,,7.0,4.0,0.3418313550430945,0.16688164776400072,0.3690214547357404,0.7115099186527758,0.8986291486291487,0.5938999882434046,43.714285714285715,0.6582248463822927,,,,,,,,,,
357,gael monfils,R,193.0,,56.0,37.0,0.39186054081594535,0.28577782610153907,0.4232860889110888,0.5890286359298965,0.8143529903622088,0.6531976005548285,62.767857142857146,0.6437361688983462,150.4,32.4%,49.8%,27.1%,41.1%,222.8,63.8%,41.1%,69.6%,48.3%
361,guillermo garcia lopez,R,188.0,,10.0,2.0,0.2658527648265955,0.07686210847975554,0.2325,0.6164107461166284,0.715599376114082,0.6014911642802451,56.6,0.6057723018136285,,,,,,,,,,
364,janko tipsarevic,R,180.0,,15.0,7.0,0.3997264532048284,0.2997682188986536,0.4192592592592593,0.5514535899830018,0.7701758177410353,0.5855469708363406,64.13333333333334,0.6137292423061206,,,,,,,,,,
365,marcos baghdatis,R,183.0,,4.0,1.0,0.3212344239190575,0.14193218954248366,0.4523809523809524,0.42992424242424243,0.6642533936651583,0.5221758540372671,37.5,0.5888039949181254,,,,,,,,,,
367,stan wawrinka,R,183.0,,49.0,31.0,0.35680434567150027,0.20181734736530346,0.4213967980161414,0.6155335065539147,0.8574386170617128,0.5871645986341092,57.10204081632653,0.682345198600763,130.6,28.4%,47.0%,18.7%,36.5%,208.6,70.5%,36.5%,42.1%,59.5%
369,andreas seppi,R,190.0,,42.0,19.0,0.35706645048097174,0.19874766640799374,0.4027908599337171,0.5281516172493615,0.7558646454737785,0.578540033414676,64.64285714285714,0.6234463123839811,136.3,27.2%,50.1%,19.1%,39.9%,213.5,58.1%,39.9%,47.1%,68.4%
372,andy murray,R,190.0,,14.0,8.0,0.37108234062795836,0.21822453340310483,0.3579943865658151,0.5707482993197279,0.809831240188383,0.5787787891049228,45.214285714285715,0.6515260249443144,142.2,28.8%,53.0%,22.2%,38.2%,211.3,60.2%,38.2%,66.7%,46.2%
375,novak djokovic,R,188.0,,64.0,54.0,0.4277269425370789,0.3447729441011416,0.5347233317132213,0.516944172045275,0.8946309001456061,0.6618341855374691,47.71875,0.714708518809714,168.9,33.9%,54.2%,31.8%,49.0%,234.5,63.8%,49.0%,46.7%,75.0%
377,juan martin del potro,R,198.0,,12.0,8.0,0.3748801124366133,0.24724322790499262,0.4319835257335258,0.46406857031857035,0.9017791444165284,0.64854372299369,48.25,0.6827043300007959,,,,,,,,,,
380,gilles simon,R,183.0,,51.0,25.0,0.38963915292459356,0.2461196688099802,0.4140528643469819,0.6069991129454047,0.7433186072545933,0.6205872380194389,81.05882352941177,0.6139229576299751,145.5,30.8%,52.7%,24.0%,38.0%,204.9,63.7%,38.0%,63.2%,40.0%
382,carlos berlocq,R,183.0,,2.0,0.0,0.4154761904761905,0.22222222222222227,0.4571428571428572,0.38095238095238093,0.5902777777777778,0.5785932721712539,54.5,0.5327217125382263,,,,,,,,,,
396,mischa zverev,L,190.0,,12.0,1.0,0.26234616253000415,0.05767958892958893,0.1706349206349206,0.5192310004810003,0.56250987574517,0.6412354215447243,85.41666666666667,0.533793454489596,,,,,,,,,,
397,sam querrey,R,198.0,,41.0,24.0,0.3377214679238085,0.16710724332051763,0.31612161551185947,0.516637630662021,0.8641617588532939,0.620829243835421,66.02439024390245,0.6914869526805756,120.8,26.2%,46.3%,15.4%,32.9%,201.6,62.8%,32.9%,50.0%,55.9%
403,ernests gulbis,R,190.0,,18.0,3.0,0.3234762618292388,0.13974280984084902,0.36111111111111105,0.45521249810465503,0.6925309893447148,0.5567930428029491,81.77777777777777,0.5939797766283007,,,,,,,,,,
407,simone bolelli,R,183.0,,2.0,0.0,0.25384615384615383,0.09090909090909088,0.3333333333333333,0.45,0.7636363636363637,0.6796861066523987,42.5,0.6218120206884252,,,,,,,,,,
409,jo-wilfried tsonga,R,188.0,,44.0,27.0,0.34674562546675886,0.1853477111085118,0.3699397824397824,0.6212824423051694,0.8633008697320546,0.6090376698025926,48.81818181818182,0.693618248380602,132.3,27.5%,46.5%,17.7%,40.6%,238.7,66.7%,40.6%,60.0%,71.4%
413,robin haase,R,190.0,,30.0,13.0,0.3475029332656645,0.18427619493795963,0.3656962481962482,0.6197678682972803,0.7813615206030068,0.5629860706913654,80.3,0.6320113487203224,,,,,,,,,,
414,steve darcis,R,178.0,,8.0,0.0,0.2550447093771221,0.016666666666666663,0.125,0.509623015873016,0.6352803446553447,0.5982607955639195,39.125,0.5848999192725177,,,,,,,,,,
415,fabio fognini,R,178.0,,53.0,30.0,0.3842138234784961,0.26141991404886433,0.4133667972180734,0.5131224267751315,0.7270591593967668,0.6077645210922044,67.79245283018868,0.6084381448242164,153.3,30.8%,51.5%,26.7%,44.3%,230.3,58.1%,44.3%,64.3%,63.6%
416,marin cilic,R,198.0,,41.0,22.0,0.350343885295148,0.18568902945002372,0.39885069288150155,0.5948451954549515,0.8180637113563944,0.5831399164354141,65.21951219512195,0.6505408662927883,129.1,27.5%,48.7%,18.2%,34.7%,209.2,65.0%,34.7%,45.5%,64.0%
417,marcel granollers,R,190.0,,18.0,7.0,0.3595186617799313,0.22019081136728194,0.41227310700994907,0.5072666530999865,0.7851431293833255,0.639520601763221,68.05555555555556,0.6674584372663598,,,,,,,,,,
419,viktor troicki,R,193.0,,6.0,2.0,0.30921573120426205,0.11482231219073324,0.38095238095238093,0.48157894736842105,0.7801587301587302,0.6200969018077186,53.333333333333336,0.6257720583837773,,,,,,,,,,
420,dudi sela,R,175.0,,1.0,0.0,0.2608695652173913,0.0,0.0,0.42857142857142855,0.42857142857142855,0.6440677966101694,63.0,0.4915254237288136,,,,,,,,,,
421,john isner,R,206.0,,46.0,29.0,0.29825375321038017,0.11242507492507489,0.3198687182382835,0.5939613526570049,0.938167471717762,0.7098929811004624,60.32608695652174,0.7468678530427498,102.9,22.2%,41.9%,9.7%,29.1%,210.6,72.4%,29.1%,53.3%,55.8%
422,donald young,L,183.0,,2.0,0.0,0.3721804511278195,0.16666666666666669,0.17142857142857143,0.5,0.4722222222222222,0.5927895981087471,55.5,0.5053191489361701,,,,,,,,,,
423,kevin anderson,R,203.0,,11.0,7.0,0.35727811790843406,0.17601770629845495,0.4068542568542568,0.7039500903137267,0.843366355866356,0.6266417420113873,64.0909090909091,0.6798726499419669,,,,,,,,,,
426,kei nishikori,R,178.0,,39.0,25.0,0.4046251592647732,0.29587827253938237,0.43574955558761236,0.49934118587964743,0.7832515843873227,0.6334524672141669,63.41025641025641,0.6343803589681477,156.6,31.8%,54.6%,28.4%,41.8%,213.4,58.7%,41.8%,60.0%,52.9%
427,jeremy chardy,R,188.0,,51.0,25.0,0.3508990275093051,0.20859432525973817,0.39304317046531584,0.6000580446082178,0.805368193240621,0.626067222553001,65.6470588235294,0.642628603176241,131.4,26.6%,48.5%,19.0%,37.3%,199.7,64.9%,37.3%,62.5%,35.0%
428,pablo cuevas,R,180.0,,45.0,22.0,0.3621024311209554,0.23530982624460894,0.41776169727150125,0.5110204900400979,0.8075236086391919,0.5894912592097098,76.4888888888889,0.6551923342688174,142.2,28.9%,48.9%,22.0%,42.4%,201.7,57.0%,42.4%,46.7%,55.6%
429,pablo andujar,R,180.0,,31.0,14.0,0.3765458574465225,0.22378693588371007,0.3712301587301587,0.5409306748490809,0.6993153799605413,0.6551715709717932,60.0,0.5909084890400734,140.7,30.3%,50.1%,21.7%,38.6%,210.5,52.7%,38.6%,55.6%,63.6%
430,sergiy stakhovsky,R,193.0,,4.0,0.0,0.25979035708187587,0.07878787878787877,0.35,0.6166666666666667,0.7654401154401154,0.6545466253233655,33.0,0.6138788795622412,,,,,,,,,,
438,leonardo mayer,R,188.0,,33.0,16.0,0.3442464345148393,0.16361472257194182,0.31610495861832755,0.5947417901963357,0.8361734522162331,0.5824838264117714,70.24242424242425,0.6632592338875898,124.0,27.4%,47.1%,14.7%,34.8%,198.2,62.3%,34.8%,35.7%,65.4%
442,denis istomin,R,188.0,,14.0,3.0,0.3060994691461757,0.11562999325604369,0.354421768707483,0.5109126984126984,0.7989902779293535,0.6516923711523791,51.42857142857143,0.6416419026053589,,,,,,,,,,
448,adrian mannarino,L,183.0,,52.0,27.0,0.37917951704695396,0.24930243947802475,0.43787889460966384,0.5078179566160336,0.7816344927259985,0.5973081999979082,64.13461538461539,0.6395015410422501,147.7,30.0%,50.3%,23.8%,43.6%,204.0,59.5%,43.6%,60.0%,40.9%
449,paolo lorenzi,R,183.0,,10.0,3.0,0.2796152060109637,0.10089279571477713,0.3363369963369963,0.6590598290598291,0.781005586142503,0.5830554381002929,52.0,0.6324947236330022,,,,,,,,,,
453,lukas lacko,R,185.0,,3.0,0.0,0.2508385509838998,0.0,0.0,0.5793650793650794,0.6777777777777777,0.6252312409254058,53.666666666666664,0.597874794554875,,,,,,,,,,
454,daniel brands,R,196.0,,2.0,1.0,0.3551536491677337,0.17045454545454547,0.4375,0.6666666666666666,0.8257575757575758,0.6690283400809717,30.0,0.6303981106612686,,,,,,,,,,
455,thiemo de bakker,R,193.0,,1.0,0.0,0.21428571428571427,0.0,0.0,0.6923076923076923,0.42857142857142855,0.5818181818181818,44.0,0.4727272727272727,,,,,,,,,,
