,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,atp_points,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
502,roberto bautista agut,R,183.0,27.0,19.0,0.43730669174374887,0.37554459943348834,0.43686750794593937,0.6092148210311265,0.8011029182489375,0.6747066127159724,77.77777777777777,0.6504365650036121,13.0,2710.0,,,,,,,,,,
504,aljaz bedene,R,181.0,22.0,10.0,0.30540311724794683,0.13387831599554081,0.2829196279062589,0.5616161616161617,0.8141979863570771,0.5670757836327952,61.77272727272727,0.6427635872264861,58.0,1045.0,,,,,,,,,,
505,evgeny donskoy,R,185.0,4.0,1.0,0.3079752293086356,0.13741258741258738,0.3854166666666667,0.5227272727272727,0.6792249417249417,0.5745998467406559,54.0,0.5740498781674316,123.0,540.0,,,,,,,,,,
507,joao sousa,R,185.0,10.0,1.0,0.3323580901636912,0.15321789321789323,0.36734848484848487,0.5636111111111111,0.689510522157581,0.5849729497745674,151.0,0.5782390306111621,90.0,776.0,,,,,,,,,,
508,guido pella,L,185.0,17.0,7.0,0.36318176703186833,0.2180535036315839,0.3333225597931481,0.5221840251252017,0.7627677616751635,0.6249032498794441,81.41176470588235,0.6227565541794184,43.0,1310.0,,,,,,,,,,
511,steve johnson,R,188.0,13.0,5.0,0.29961501208570884,0.11826090576090574,0.397976809515271,0.5949174756867065,0.7655217331687919,0.5991408560242272,58.69230769230769,0.615637798229102,72.0,870.0,,,,,,,,,,
512,jack sock,R,185.0,4.0,2.0,0.3617584097859327,0.211875,0.5,0.5064935064935066,0.7579551820728292,0.592262771950272,34.75,0.6390224358974359,253.0,217.0,,,,,,,,,,
513,denis kudla,R,180.0,1.0,0.0,0.30666666666666664,0.11111111111111116,0.75,0.5833333333333334,0.8214285714285714,0.6190476190476191,38.0,0.6547619047619048,114.0,600.0,,,,,,,,,,
514,federico delbonis,L,190.0,21.0,9.0,0.362649600886797,0.20377099557771824,0.2886999244142101,0.5954722526151097,0.7441492139377746,0.6204838456553612,66.47619047619048,0.6084707611809477,82.0,825.0,,,,,,,,,,
515,jiri vesely,L,198.0,16.0,10.0,0.363016072475597,0.20751437594268476,0.3484871031746032,0.3643257783882784,0.8216153868920897,0.6681437685936751,94.75,0.6735029031146029,68.0,913.0,,,,,,,,,,
516,jan lennard struff,R,193.0,30.0,15.0,0.37558512018434603,0.2517548780195839,0.324884004884005,0.6191732341732341,0.8118295810942872,0.561412404075665,73.03333333333333,0.6509260783235599,36.0,1450.0,,,,,,,,,,
518,pablo carreno busta,R,188.0,32.0,20.0,0.37140103046245826,0.26454529222282697,0.3695403427250854,0.5852950868575868,0.8009415518883273,0.673897049220939,57.125,0.6419465498694455,16.0,2535.0,143.2,0.28300000000000003,0.523,0.252,0.374,215.2,0.622,0.374,0.556,0.6
523,dusan lajovic,R,180.0,30.0,14.0,0.3703348769333527,0.22495128303766745,0.3680587005587006,0.5113438413438413,0.7481114949273517,0.671228972359973,58.233333333333334,0.6237987487725345,26.0,1785.0,136.5,0.309,0.485,0.215,0.35600000000000004,211.3,0.564,0.35600000000000004,0.667,0.526
524,dominic thiem,R,185.0,34.0,25.0,0.381995328549167,0.26727306063209477,0.4149766083589613,0.6069731738849387,0.8419730942293755,0.6317106455987174,72.11764705882354,0.6623814836419823,3.0,9125.0,151.0,0.325,0.503,0.261,0.42100000000000004,226.8,0.657,0.42100000000000004,0.583,0.607
528,diego schwartzman,R,170.0,40.0,25.0,0.42924208056779134,0.3493836365751327,0.44422201844995957,0.5575260380300702,0.7243962655879216,0.6201690046652608,45.1,0.599235997309251,9.0,3455.0,173.7,0.344,0.574,0.349,0.47,238.1,0.5820000000000001,0.47,0.615,0.7140000000000001
529,nick kyrgios,R,193.0,9.0,6.0,0.29591257424856976,0.14369889369889371,0.40764790764790765,0.5628747795414462,0.891005291005291,0.7276166065837638,30.88888888888889,0.698401578747939,45.0,1170.0,,,,,,,,,,
530,filip krajinovic,R,185.0,28.0,16.0,0.40747728642849884,0.3026416666122548,0.4626643198071769,0.6128960664439987,0.7807318207003082,0.64987538469936,68.28571428571429,0.6401054097579421,31.0,1628.0,,,,,,,,,,
531,borna coric,R,188.0,28.0,16.0,0.3640685447855823,0.2362496463436313,0.42065049796142234,0.5456603911961053,0.8021566466115336,0.6397176782386824,51.464285714285715,0.6462899984958314,24.0,1855.0,143.5,0.268,0.51,0.225,0.43200000000000005,236.0,0.624,0.43200000000000005,0.833,0.47100000000000003
532,peter gojowczyk,R,185.0,3.0,0.0,0.31691095350669823,0.10326797385620916,0.24444444444444446,0.4171122994652407,0.7526101349630762,0.5520070618884848,53.0,0.6082906991997901,145.0,454.0,,,,,,,,,,
533,james duckworth,R,183.0,12.0,4.0,0.2836924527781417,0.08158161283161282,0.33459595959595956,0.6488200456950456,0.7981054484730956,0.5649867232903737,75.33333333333333,0.6185307937483132,103.0,701.0,,,,,,,,,,
534,damir dzumhur,R,172.0,7.0,1.0,0.3634785044361017,0.19058956916099776,0.24767573696145123,0.4249194414607948,0.6704287775716347,0.6424995562777518,45.57142857142857,0.59498293199421,119.0,562.0,,,,,,,,,,
537,ruben bemelmans,L,183.0,2.0,1.0,0.2561904761904762,0.05882352941176472,0.16666666666666666,0.6636363636363636,0.8411764705882353,0.6649594726997416,80.0,0.6568540126480805,227.0,253.0,,,,,,,,,,
539,alexander zverev,R,198.0,39.0,28.0,0.3956627746539178,0.27995096739212844,0.4515654573346883,0.5505728957652035,0.8296500165371895,0.6757136732292017,51.76923076923077,0.6760547692981275,7.0,5525.0,154.1,0.327,0.508,0.271,0.435,222.9,0.608,0.435,0.636,0.55
541,john millman,R,183.0,31.0,18.0,0.3830209088295862,0.2469463507888555,0.43136118206244434,0.6065377275054693,0.7786398913079882,0.5998847833934774,93.16129032258064,0.630171656999985,38.0,1421.0,,,,,,,,,,
543,pierre hugues herbert,R,188.0,20.0,10.0,0.37387018460414145,0.23436949161949167,0.3527236652236652,0.5105975274725274,0.7788217354540885,0.5709439308835165,52.45,0.6268955148630437,83.0,812.0,,,,,,,,,,
544,radu albot,R,175.0,18.0,7.0,0.36340050679704494,0.2039306463326071,0.3305826889160222,0.5018065268065268,0.6589918160996593,0.6113083640968352,66.55555555555556,0.5752447475096351,93.0,772.0,,,,,,,,,,
545,nikoloz basilashvili,R,185.0,16.0,3.0,0.32383776177340606,0.1370004280849869,0.25491973304473303,0.5414220328282828,0.6019297542735043,0.5573475819254756,52.1875,0.540045508029713,40.0,1395.0,,,,,,,,,,
546,taro daniel,R,191.0,3.0,0.0,0.34146873769043234,0.1399782135076253,0.39814814814814814,0.5624098124098125,0.7320889894419307,0.5974496609343555,88.33333333333333,0.6055277185699353,117.0,581.0,,,,,,,,,,
548,marco cecchinato,R,185.0,20.0,7.0,0.32629704159834344,0.16555486180486179,0.3242424242424243,0.5298126873126872,0.7262863598389913,0.6634349679379085,58.1,0.6103522811241537,80.0,828.0,,,,,,,,,,
550,kyle edmund,R,188.0,19.0,10.0,0.37981306579214336,0.2333243786702317,0.3655265786844734,0.6511012379433433,0.815462250122915,0.6120639544906191,64.6842105263158,0.6496736170405212,48.0,1085.0,,,,,,,,,,
553,facundo bagnis,L,183.0,4.0,1.0,0.39466981235081183,0.2498663101604278,0.29642857142857143,0.41389860139860135,0.7599227569815805,0.6133186226435654,43.5,0.6092318391887648,125.0,531.0,,,,,,,,,,
554,taylor fritz,R,193.0,29.0,14.0,0.36264416093842916,0.20897804302976714,0.28996574944850806,0.5568405732198837,0.8478573916504952,0.6075465269205611,90.13793103448276,0.6780603443988477,29.0,1670.0,129.5,0.263,0.524,0.188,0.32,169.3,0.616,0.32,0.444,0.313
556,jordan thompson,R,183.0,23.0,11.0,0.34318572576550743,0.18315240741071942,0.30408251169120737,0.5850651763695242,0.7544655046199666,0.6407350768160562,61.56521739130435,0.6243657041927374,51.0,1068.0,,,,,,,,,,
557,daniel evans,R,175.0,33.0,19.0,0.37825759189775093,0.2462475754588054,0.40336737292478914,0.5874134947101453,0.7833401409401176,0.6025507363320599,43.75757575757576,0.6336133719369035,32.0,1589.0,148.6,0.312,0.507,0.251,0.41600000000000004,214.1,0.5920000000000001,0.41600000000000004,0.6,0.5329999999999999
558,yoshihito nishioka,L,170.0,26.0,14.0,0.39291485680701854,0.27030662294954494,0.3660134147229289,0.5338848117694271,0.7548341016458425,0.6688872646288652,69.6923076923077,0.6149472574248291,56.0,1062.0,146.0,0.304,0.529,0.255,0.37200000000000005,209.9,0.627,0.37200000000000005,0.6,0.5
559,karen khachanov,R,198.0,34.0,19.0,0.3730871468836749,0.23385594574006638,0.4846214243273066,0.47516555436105606,0.7947721285826824,0.6382453227667504,72.6470588235294,0.6431569629350147,20.0,2245.0,149.5,0.28300000000000003,0.5329999999999999,0.22899999999999998,0.45,205.4,0.604,0.45,0.4,0.6
561,yuichi sugita,R,173.0,8.0,2.0,0.3303622847740495,0.20181277056277053,0.3936011904761905,0.7037248392946922,0.6462977994227994,0.612831664501843,81.625,0.5776871266706325,102.0,713.0,,,,,,,,,,
564,renzo olivo,R,180.0,2.0,2.0,0.41564187650465223,0.25816993464052285,0.46634615384615385,0.5227272727272727,0.7048611111111112,0.6040598290598291,77.0,0.5778846153846153,214.0,281.0,,,,,,,,,,
565,daniil medvedev,R,198.0,38.0,28.0,0.40162308137690333,0.28111855238217265,0.4436748622894133,0.6008583521741416,0.8683112960482142,0.6120044040261141,51.10526315789474,0.6996238522719483,4.0,8470.0,156.7,0.314,0.563,0.275,0.415,228.9,0.637,0.415,0.6920000000000001,0.545
566,thiago monteiro,L,183.0,18.0,8.0,0.3525232242875391,0.20120238331022644,0.42271524771524777,0.6585417668751002,0.8186829782418018,0.683346971610573,63.94444444444444,0.664402199849746,84.0,804.0,,,,,,,,,,
568,frances tiafoe,R,188.0,20.0,9.0,0.37039553301040706,0.20637536567170436,0.42953823953823955,0.596865664528708,0.7654462343212345,0.6314170632286881,58.65,0.6235483681002629,59.0,1030.0,135.1,0.284,0.483,0.198,0.386,183.9,0.62,0.386,0.25,0.583
569,ernesto escobedo,R,185.0,1.0,0.0,0.34057971014492755,0.052631578947368474,0.06666666666666667,0.75,0.8421052631578947,0.5078125,100.0,0.6484375,198.0,329.0,,,,,,,,,,
572,norbert gombos,R,193.0,13.0,5.0,0.37812916537375185,0.20216287848746922,0.324301446416831,0.5388386123680241,0.7427103598156231,0.6028024761834206,41.76923076923077,0.6147848528915867,88.0,789.0,,,,,,,,,,
573,thomas fabbiano,R,173.0,1.0,0.0,0.3880597014925373,0.125,0.14285714285714285,0.375,0.2857142857142857,0.5952380952380952,86.0,0.42857142857142855,172.0,379.0,,,,,,,,,,
574,andrey rublev,R,188.0,51.0,41.0,0.41293251517132695,0.3164853087800783,0.4661665074977767,0.4741499513558336,0.8741760244499903,0.5999541009510885,54.254901960784316,0.7020327044451078,8.0,4119.0,158.6,0.321,0.535,0.28600000000000003,0.444,224.2,0.638,0.444,0.636,0.524
575,henri laaksonen,R,185.0,5.0,0.0,0.3234575507748495,0.12279411764705883,0.24166666666666664,0.43555555555555553,0.7106060606060607,0.5918290833991978,55.2,0.5860681236012154,134.0,485.0,,,,,,,,,,
577,denis shapovalov,L,185.0,32.0,17.0,0.3610562218504991,0.22295848963128376,0.35403476731601735,0.632857246919747,0.8352107789656165,0.5980821750548785,62.875,0.6568584731724468,12.0,2830.0,138.0,0.299,0.49200000000000005,0.225,0.364,172.6,0.642,0.364,0.308,0.41200000000000003
578,laslo djere,R,188.0,22.0,13.0,0.3891901929379573,0.2689490545105518,0.4936393152302243,0.4551095369277187,0.7300953432532379,0.5980191177423809,87.5909090909091,0.6143260806754364,57.0,1058.0,152.5,0.322,0.506,0.253,0.444,218.2,0.524,0.444,0.7140000000000001,0.5
579,marton fucsovics,R,188.0,25.0,14.0,0.3980389728779421,0.2850979862233059,0.45730230880230893,0.5447895437895438,0.6923736756938937,0.5858685568508838,65.88,0.5853398890805006,55.0,1062.0,,,,,,,,,,
580,stefanos tsitsipas,R,193.0,41.0,27.0,0.3777344554886444,0.2379834802289733,0.37036824963654236,0.5285187712016981,0.9004409863004146,0.6436933985052584,41.609756097560975,0.712995616582289,6.0,5925.0,139.9,0.293,0.499,0.21600000000000003,0.391,195.3,0.642,0.391,0.4,0.52
581,tennys sandgren,R,188.0,20.0,7.0,0.32038144763156984,0.1309668071835488,0.3294176145491935,0.6862362637362638,0.8266149648003454,0.6253260351281755,57.95,0.6478550214077845,49.0,1081.0,,,,,,,,,,
