,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
107,aaron krickstein,R,183.0,54.0,30.0,0.39897040622941593,0.29798902229457774,0.44698340119091745,0.4924683877582429,0.7704035954203654,0.5874779080035252,83.87037037037037,0.622465321415305,190.4,56.1%,44.1%,44.4%,45.8%,45.0
109,alberto berasategui,R,173.0,89.0,64.0,0.4469851979294613,0.39110847018150396,0.4834616879025861,0.5719770586861067,0.7507954619735849,0.7175002241458118,75.92134831460675,0.6073152558867244,221.7,60.1%,47.5%,58.1%,56.0%,36.0
111,javier frana,L,185.0,20.0,10.0,0.3706701110605991,0.20156409852617285,0.37265151515151507,0.5105394605394605,0.7536673736480238,0.6350853763621824,81.3,0.6247256531067048,,,,,,49.0
112,ronald agenor,R,180.0,36.0,13.0,0.3646377952414017,0.21911428140143316,0.37943417179528294,0.5526053897990172,0.7162624004535771,0.583661816375135,71.11111111111111,0.5980911060262086,185.7,59.7%,36.0%,43.8%,46.2%,58.0
113,horacio de la pena,L,180.0,14.0,5.0,0.3854450652478167,0.2857017165840695,0.5094915238822801,0.5470327291755863,0.6392088886836786,0.6896290007807486,105.71428571428571,0.562198739083465,,,,,,79.0
114,patrick mcenroe,R,183.0,40.0,19.0,0.39224334275082434,0.26012357944343234,0.40412701881451885,0.5669666736772,0.7231814469285446,0.6108688915729746,87.2,0.6002768942041659,187.2,58.1%,39.1%,50.0%,40.0%,73.0
116,jason stoltenberg,R,185.0,62.0,38.0,0.40574305186143833,0.29434821250429105,0.4292466173289853,0.5900993192976115,0.8001940324274474,0.5903281656506162,76.61290322580645,0.6351028690532994,213.2,61.8%,41.4%,50.0%,60.0%,44.0
117,jordi burillo,R,188.0,41.0,15.0,0.3936413522605122,0.27861823136213376,0.4769286946116215,0.5520214879970977,0.670761264878912,0.504865419571303,78.97560975609755,0.5782001074668432,199.9,56.7%,43.2%,33.3%,66.7%,56.0
118,mikael pernfors,R,173.0,7.0,0.0,0.3667759365336122,0.17472170686456404,0.5056277056277056,0.35235597735597735,0.46460444317587174,0.4566161401701373,94.14285714285714,0.4948794554838733,,,,,,29.0
119,grant stafford,R,188.0,28.0,9.0,0.42322537137716276,0.3087732703804132,0.423925528836243,0.4591991604334041,0.6462030033458606,0.6111303245130452,94.07142857142857,0.5683207649723024,,,,,,86.0
