,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
0,richard krajicek,R,196.0,62.0,39.0,0.3619187263427616,0.20778422014860837,0.3808715030489224,0.6375718273426252,0.8476602273499187,0.5891386016628117,108.01612903225806,0.6741623981126057,133.9,0.266,0.506,0.19899999999999998,0.368,208.3,0.68,0.368,0.55,0.485,11.0
1,thomas enqvist,R,190.0,83.0,62.0,0.4250433983385313,0.3482663460182771,0.45874639082470403,0.537730667486533,0.8172642926368351,0.5572471154804414,70.2289156626506,0.6599480724542135,162.5,0.316,0.5539999999999999,0.322,0.433,236.5,0.612,0.433,0.76,0.56,7.0
2,jonathan stark,R,188.0,42.0,18.0,0.3462589023348759,0.1798321815128537,0.3015807605093319,0.5437009419152276,0.7970392838565107,0.594828641999919,125.5,0.6399715274641007,121.1,0.253,0.479,0.16899999999999998,0.31,189.4,0.602,0.31,0.5379999999999999,0.444,100.0
3,todd woodbridge,R,178.0,53.0,32.0,0.3882010444264661,0.24550251103184914,0.4194189330010638,0.5744934310972047,0.7699572016597401,0.5738469431949252,64.45283018867924,0.6151090871899219,143.7,0.301,0.508,0.242,0.386,218.9,0.615,0.386,0.5379999999999999,0.65,33.0
4,david wheaton,R,193.0,51.0,28.0,0.3771429896841907,0.23694248624737638,0.42439466628574496,0.5660974902324384,0.8157573228469875,0.6544388244361181,92.29411764705883,0.6590922333551432,141.3,0.28,0.516,0.225,0.392,191.4,0.637,0.392,0.385,0.5,44.0
5,alexander volkov,L,188.0,57.0,31.0,0.37910566652391625,0.24565019510335165,0.4264537589460189,0.5526977165135062,0.7460222031698679,0.5060671931844363,108.05263157894737,0.6077622763351325,144.4,0.273,0.522,0.245,0.40399999999999997,189.5,0.588,0.40399999999999997,0.625,0.278,47.0
6,jonas svensson,R,188.0,1.0,0.0,0.2830188679245283,0.0,0.0,0.7,0.7,0.7466666666666667,79.0,0.5733333333333334,,,,,,,,,,,81.0
8,bernd karbacher,R,185.0,50.0,24.0,0.39155592811170814,0.27038684143513864,0.4118278926955397,0.511302530802531,0.7151349963761728,0.5258197635738908,75.28,0.5984472840635506,148.1,0.307,0.514,0.259,0.401,184.1,0.536,0.401,0.5710000000000001,0.33299999999999996,39.0
9,nicklas kulti,R,190.0,9.0,3.0,0.35764307339738305,0.18221762134805614,0.43827160493827155,0.5746913580246914,0.7824671302932172,0.5263683143681462,47.55555555555556,0.6314148091914157,,,,,,,,,,,99.0
10,mark woodforde,L,188.0,55.0,30.0,0.40354493313282946,0.2731289467639031,0.37340327183839706,0.5462932225231691,0.7603697305758943,0.5719411865345339,75.0909090909091,0.6270615252855171,145.4,0.313,0.528,0.259,0.354,186.8,0.594,0.354,0.375,0.545,51.0
11,derrick rostagno,R,185.0,13.0,6.0,0.3707838005257819,0.23409355224966089,0.35855522682445756,0.42979242979242976,0.7242621970243454,0.5923534390244339,42.61538461538461,0.6046203202617646,,,,,,,,,,,75.0
12,magnus larsson,R,193.0,47.0,33.0,0.382917652718466,0.2627323444084527,0.39270232691285323,0.6625022731405711,0.859391474770073,0.626766930662969,67.08510638297872,0.6719714874334062,141.8,0.29100000000000004,0.49200000000000005,0.22899999999999998,0.406,237.9,0.6579999999999999,0.406,0.706,0.609,17.0
13,christian bergstrom,R,180.0,5.0,1.0,0.3758001937080694,0.27870129870129867,0.37079490557751427,0.49551282051282053,0.6422377622377622,0.5785593494000476,56.8,0.5362534983060834,,,,,,,,,,,58.0
14,kenneth carlsen,L,190.0,44.0,23.0,0.3449509163092545,0.17737281892696335,0.4390134486725397,0.6462381683972592,0.8293402286216458,0.576903939763072,80.95454545454545,0.6534905622292939,134.5,0.254,0.488,0.174,0.429,217.2,0.68,0.429,0.563,0.5,72.0
15,todd martin,R,198.0,61.0,40.0,0.3798562471983231,0.23041174604840692,0.38451014056124944,0.6010858797261884,0.8351390411243081,0.6047109638088874,76.73770491803279,0.6665277388074354,141.8,0.275,0.524,0.222,0.397,235.8,0.643,0.397,0.688,0.63,18.0
16,bryan shelton,R,185.0,31.0,11.0,0.3551498386673606,0.1627105665283208,0.29884004884004883,0.5696798202740477,0.7281395643288229,0.5614655106919545,86.83870967741936,0.6007072014558863,126.1,0.264,0.515,0.159,0.32299999999999995,178.2,0.598,0.32299999999999995,0.41700000000000004,0.444,85.0
17,cedric pioline,R,188.0,46.0,22.0,0.386318848668102,0.23440173246758925,0.37539133571742267,0.5184586548716985,0.770280997774604,0.5772224504346711,63.34782608695652,0.6244187359748382,138.2,0.304,0.484,0.217,0.377,189.8,0.563,0.377,0.33299999999999996,0.625,54.0
18,sandon stolle,R,193.0,10.0,3.0,0.34670487668444816,0.20723039215686273,0.24267676767676769,0.4364285714285715,0.73741458704694,0.6152783581343028,39.9,0.5998789839220449,,,,,,,,,,,71.0
19,richard fromberg,R,196.0,36.0,17.0,0.368427212534557,0.2361871221552594,0.4091634445801112,0.5686127733921852,0.7658350137516806,0.5644262139406508,64.22222222222223,0.6323298171360463,142.1,0.299,0.478,0.23199999999999998,0.41200000000000003,175.1,0.631,0.41200000000000003,0.33299999999999996,0.375,85.0
20,magnus gustafsson,R,185.0,18.0,8.0,0.4303942237903445,0.3489142302867793,0.48310892992265536,0.4927428525016244,0.6943256379079392,0.612643519100616,62.166666666666664,0.5851510921286779,,,,,,,,,,,84.0
21,marcos ondruska,R,183.0,26.0,8.0,0.3772665395784699,0.2277747359478129,0.47716108677647145,0.5600097677586366,0.6919118780454814,0.5541847579580108,66.73076923076923,0.5723515471904145,154.9,0.308,0.521,0.264,0.456,193.3,0.636,0.456,0.5329999999999999,0.308,98.0
22,sergi bruguera,R,188.0,52.0,35.0,0.42880860030891327,0.34808641898574016,0.48730321916050634,0.576816933066933,0.7840233704204292,0.607020843105289,77.01923076923077,0.6334701019861382,165.9,0.33399999999999996,0.55,0.326,0.449,229.3,0.62,0.449,0.75,0.474,13.0
23,stefan edberg,R,188.0,57.0,38.0,0.4170755805203459,0.3185769281744514,0.45523195128458277,0.5669078484867959,0.788132427141715,0.6083378151209361,83.57894736842105,0.639837794764475,159.5,0.327,0.5329999999999999,0.302,0.433,230.6,0.604,0.433,0.65,0.619,23.0
24,karsten braasch,L,180.0,20.0,3.0,0.3273791152732667,0.13996746309246308,0.2748069985569986,0.5569814580843991,0.7092039210789209,0.5397024606475267,58.0,0.5913304428157283,,,,,,,,,,,56.0
25,gianluca pozzi,L,180.0,25.0,6.0,0.3542904746878122,0.1897415776517943,0.30972099639490946,0.4991090576090576,0.6584450386215092,0.5462458973458166,63.84,0.5657348913022463,132.6,0.266,0.528,0.2,0.332,134.3,0.561,0.332,0.2,0.25,93.0
26,diego nargiso,L,188.0,9.0,2.0,0.3565338437588518,0.23207051662934017,0.3587301587301587,0.4808743725410392,0.6484298911156496,0.49874492096248324,46.44444444444444,0.5755008815507691,,,,,,,,,,,88.0
27,jan siemerink,L,183.0,63.0,36.0,0.35967589554264967,0.1966444340928345,0.359385367718701,0.6089304875019161,0.8222930492962188,0.5963334100511078,56.41269841269841,0.6543519492016738,131.7,0.29,0.473,0.19,0.364,225.0,0.643,0.364,0.611,0.632,21.0
28,boris becker,R,190.0,62.0,46.0,0.3832018064661792,0.24281540157035164,0.4211076070777208,0.6144704533817438,0.8882139523558396,0.5715254516979578,76.48387096774194,0.6863676173112649,139.6,0.276,0.52,0.221,0.379,222.3,0.6679999999999999,0.379,0.65,0.526,4.0
