,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,atp_points,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
202,tommy haas,R,188.0,12.0,3.0,0.31584607081982013,0.13741179486148522,0.2501653439153439,0.5399196799932094,0.7407538733196629,0.6136996407028691,47.333333333333336,0.6285720259700958,205.0,237.0,,,,,,,,,,
214,arnaud clement,R,173.0,13.0,4.0,0.3539659790367884,0.21847270451389442,0.4891469641469642,0.5662004662004662,0.7493316650296056,0.5543759207417278,62.69230769230769,0.6092950266200426,152.0,342.0,,,,,,,,,,
235,lleyton hewitt,R,180.0,15.0,7.0,0.36791600820487697,0.2154576904576904,0.35923350182985064,0.55494227994228,0.7632331248997916,0.5657706921687807,92.4,0.6103099299695163,186.0,265.0,,,,,,,,,,
238,rainer schuettler,R,180.0,17.0,4.0,0.3494033540558667,0.17919568897077548,0.4484402852049911,0.6504722058127629,0.7116365660483308,0.6185577640103956,56.05882352941177,0.5935075391216591,132.0,428.0,,,,,,,,,,
244,juan carlos ferrero,R,183.0,31.0,20.0,0.40049582235278613,0.2738673960448154,0.3867483797037877,0.6088921422196316,0.7695365157672313,0.632096048976564,62.58064516129032,0.6303373417775827,50.0,910.0,149.6,0.321,0.501,0.26,0.414,252.5,0.644,0.414,0.667,0.8
247,ivan ljubicic,R,193.0,44.0,25.0,0.3402529705088318,0.2233514925359845,0.4086694870785779,0.5438214563214564,0.8221376315970673,0.5707883809537094,70.0909090909091,0.6628749332435312,30.0,1270.0,137.9,0.27,0.474,0.204,0.431,198.6,0.597,0.431,0.375,0.583
249,roger federer,R,185.0,73.0,61.0,0.4120577519004852,0.3071566743486303,0.45473326633076827,0.508994430227307,0.9089785782248581,0.637675340119242,38.9041095890411,0.7226047938867967,3.0,8170.0,153.9,0.33,0.513,0.281,0.415,224.2,0.648,0.415,0.5,0.679
262,juan ignacio chela,R,190.0,52.0,28.0,0.4241285845926072,0.3318373593229732,0.47516928929542057,0.5809473818664995,0.7394738714888051,0.6659208312397673,83.53846153846153,0.6118479734408321,29.0,1270.0,165.8,0.345,0.539,0.316,0.45799999999999996,202.7,0.595,0.45799999999999996,0.474,0.5
269,olivier rochus,R,168.0,27.0,13.0,0.36260541908295674,0.21722521803211595,0.34434517914910073,0.5326255867105542,0.7139948078587568,0.5920820348290997,97.29629629629629,0.5967770823697508,67.0,704.0,,,,,,,,,,
277,xavier malisse,R,185.0,48.0,24.0,0.38616767778952116,0.2755305195242855,0.48859058629279234,0.5274597781031606,0.7877026477270243,0.576097300969463,60.916666666666664,0.6480984835002902,49.0,910.0,154.6,0.308,0.499,0.254,0.485,180.2,0.609,0.485,0.33299999999999996,0.375
279,mikhail youzhny,R,183.0,49.0,25.0,0.38447004363244663,0.25733901755710936,0.42195454771985386,0.5189761918753515,0.7693430025878224,0.6095871583139445,59.53061224489796,0.6289660160738877,35.0,1105.0,143.3,0.29600000000000004,0.503,0.243,0.391,191.3,0.593,0.391,0.4,0.529
280,andy roddick,R,188.0,47.0,32.0,0.3634212671818716,0.22851492131842563,0.4025619770300621,0.5321298677681656,0.8593036058058123,0.6516140918539499,73.02127659574468,0.6970758441254066,14.0,1940.0,137.9,0.27899999999999997,0.486,0.215,0.39899999999999997,231.6,0.638,0.39899999999999997,0.7,0.579
283,michael russell,R,173.0,24.0,8.0,0.34525069186280666,0.19876965354906537,0.45358209042419567,0.4755321067821068,0.7021414077480254,0.6407538928859252,56.791666666666664,0.6000297599876863,99.0,577.0,142.8,0.281,0.479,0.218,0.45,189.6,0.513,0.45,0.6,0.33299999999999996
284,jose acasuso,R,190.0,3.0,2.0,0.37421992101925516,0.2828282828282828,0.43888888888888894,0.7592592592592592,0.8250000000000001,0.5567087233753901,35.333333333333336,0.6474867724867724,255.0,186.0,,,,,,,,,,
285,tommy robredo,R,180.0,32.0,20.0,0.3883854436721361,0.27884812770648676,0.3883694430569432,0.5956723603516366,0.8102071719452716,0.6252248508274711,78.71875,0.6486637230250538,51.0,905.0,150.4,0.301,0.5329999999999999,0.267,0.40299999999999997,219.5,0.625,0.40299999999999997,0.667,0.5
286,nikolay davydenko,R,178.0,50.0,25.0,0.41066866767570986,0.30148224814401287,0.43243903018206425,0.5915096073517127,0.7294648817366205,0.7046100395130385,62.02,0.5962235379960931,41.0,980.0,157.7,0.336,0.525,0.287,0.429,195.6,0.615,0.429,0.5,0.41200000000000003
288,albert montanes,R,175.0,47.0,22.0,0.3766502726220657,0.2790068403513011,0.37067179896127267,0.5900420987717608,0.7315124701499787,0.5819125190049906,63.48936170212766,0.6106674248839405,53.0,895.0,147.3,0.317,0.503,0.256,0.397,204.3,0.613,0.397,0.5329999999999999,0.5
289,david nalbandian,R,180.0,32.0,20.0,0.39317468116657767,0.2655741263810149,0.3875103399460017,0.6051371162362541,0.7615287382895742,0.5808934719797485,58.96875,0.625117191902806,64.0,760.0,145.8,0.299,0.542,0.251,0.366,283.6,0.613,0.366,1.0,0.857
290,james blake,R,185.0,31.0,16.0,0.34987929694905656,0.20248540979865254,0.4353979353979353,0.589264946523011,0.748271137603256,0.5885424543617813,53.87096774193548,0.6324521600114968,59.0,819.0,138.2,0.272,0.484,0.207,0.419,208.7,0.6559999999999999,0.419,0.545,0.467
