,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
214,arnaud clement,R,173.0,39.0,15.0,0.3543371859979593,0.1900263098251491,0.38444244501936803,0.5204173319557935,0.7501572585101014,0.5641348033526236,53.61538461538461,0.6153569468038232,131.2,0.263,0.49,0.18600000000000003,0.373,155.2,0.581,0.373,0.455,0.14300000000000002,78.0
235,lleyton hewitt,R,180.0,31.0,19.0,0.4175223161726707,0.3122702276639658,0.5337747588696355,0.5099910394265234,0.7744065706589427,0.5639225957057222,61.774193548387096,0.6438415066247767,164.1,0.324,0.541,0.289,0.48700000000000004,245.8,0.5539999999999999,0.48700000000000004,0.667,0.75,54.0
238,rainer schuettler,R,180.0,29.0,12.0,0.3843788574161275,0.2532240649865661,0.3789299302230336,0.4912399860675723,0.7676134278162677,0.6012227196746025,83.51724137931035,0.6327883296484085,,,,,,,,,,,84.0
244,juan carlos ferrero,R,183.0,47.0,33.0,0.4297837693861151,0.35595502015714775,0.4636622763969447,0.4438002553624054,0.8084205281211407,0.7155343737063763,80.97872340425532,0.6583477905831343,166.2,0.336,0.545,0.32,0.461,211.7,0.593,0.461,0.563,0.5,29.0
247,ivan ljubicic,R,193.0,43.0,25.0,0.35458010857487926,0.1879230057068634,0.37874799618985666,0.5276375433352177,0.8312896644678991,0.5957776915170772,66.74418604651163,0.6539239395161566,132.5,0.29,0.47700000000000004,0.192,0.366,223.3,0.655,0.366,0.6920000000000001,0.52,17.0
249,roger federer,R,185.0,78.0,65.0,0.4092005910972085,0.2925362962410473,0.4606491592827626,0.5568173785279047,0.9003381648517392,0.6203382728667177,39.07692307692308,0.7115122139046052,152.6,0.33799999999999997,0.506,0.272,0.41,241.7,0.6829999999999999,0.41,0.647,0.677,2.0
262,juan ignacio chela,R,190.0,52.0,28.0,0.43233168884595446,0.36253427013636486,0.5085483065828087,0.5148615006788085,0.7380066009114591,0.62356149798429,66.92307692307692,0.6167299817328942,164.7,0.354,0.517,0.322,0.45399999999999996,197.5,0.5579999999999999,0.45399999999999996,0.563,0.4,38.0
277,xavier malisse,R,185.0,43.0,22.0,0.358224665350764,0.1998383517059919,0.4245595489781535,0.5772068370905581,0.7823724440043606,0.5771780718445338,60.72093023255814,0.6381823127194819,136.7,0.298,0.469,0.19899999999999998,0.401,221.1,0.629,0.401,0.625,0.556,60.0
279,mikhail youzhny,R,183.0,58.0,40.0,0.4013678971060735,0.29832188326313164,0.445023659706943,0.5565079757910975,0.804215482640434,0.6336893049779031,72.3103448275862,0.6490474218669182,153.3,0.295,0.523,0.27399999999999997,0.441,227.1,0.611,0.441,0.625,0.594,10.0
280,andy roddick,R,188.0,66.0,48.0,0.35167830551094026,0.18811012903631136,0.36817484279488205,0.5596021402839585,0.9136744655335133,0.6866997015923587,51.53030303030303,0.730433600553131,126.8,0.251,0.491,0.17600000000000002,0.35,222.7,0.691,0.35,0.611,0.575,8.0
283,michael russell,R,173.0,33.0,11.0,0.36020759382989787,0.2141762278125914,0.3802539211630121,0.4717291967291967,0.6686129615555453,0.6521349167198167,66.39393939393939,0.586644891876886,141.4,0.275,0.518,0.217,0.40399999999999997,156.7,0.53,0.40399999999999997,0.3,0.33299999999999996,99.0
285,tommy robredo,R,180.0,43.0,20.0,0.36054450698459656,0.21452780385748912,0.39980620155038765,0.4709663398616886,0.7716480908512373,0.6484900275978175,66.79069767441861,0.6394017385822699,137.0,0.273,0.504,0.203,0.39,186.3,0.5589999999999999,0.39,0.385,0.529,50.0
