,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
249,roger federer,R,185.0,13.0,9.0,0.34686864370708537,0.17461740120111158,0.385301557416942,0.6301282051282051,0.869794493630526,0.6601132871183399,57.07692307692308,0.6828511191483885,16.0,,,,,
326,rafael nadal,L,185.0,29.0,24.0,0.4465030809415805,0.38660290977067957,0.46385553093810805,0.5654796353072216,0.8426902962522693,0.6397103585993145,47.724137931034484,0.6686268830202317,6.0,,,,,
333,richard gasquet,R,185.0,30.0,14.0,0.34289345911501024,0.1796508067096302,0.31999674617321683,0.46882390757390763,0.7515091166716553,0.591319360503002,84.66666666666667,0.6206693998467849,87.0,,,,,
357,gael monfils,R,193.0,34.0,18.0,0.3869148682436607,0.24650657081339108,0.35962084945460904,0.5579181439475558,0.801172046907341,0.6147505169778352,63.205882352941174,0.6480053507235539,21.0,178.1,0.61,0.369,0.364,0.43799999999999994
367,stan wawrinka,R,183.0,6.0,3.0,0.3453305575273859,0.17640669515669516,0.3516969141969142,0.5661764705882354,0.8654412716912717,0.5721575018675268,88.5,0.6738346920177906,82.0,203.6,0.682,0.354,0.5,0.5
375,novak djokovic,R,188.0,56.0,51.0,0.44434832189509615,0.3720951948266357,0.4786626794099621,0.534417120577835,0.8756138998541599,0.646206931998503,54.464285714285715,0.6970314433699097,1.0,232.3,0.659,0.45299999999999996,0.733,0.478
415,fabio fognini,R,178.0,43.0,20.0,0.383223826221087,0.24917412778145542,0.4418295528760645,0.5289404461987083,0.7188218061688075,0.5978625222205182,73.88372093023256,0.597884862732183,37.0,204.2,0.584,0.408,0.4,0.65
416,marin cilic,R,198.0,54.0,32.0,0.3687418746495933,0.21928477900700127,0.3606677696546977,0.5763183318738874,0.8175867347134038,0.5828459706868466,75.48148148148148,0.6610549620158113,30.0,211.8,0.634,0.36200000000000004,0.6,0.522
421,john isner,R,206.0,35.0,23.0,0.28043408866352254,0.09488212084408457,0.30310657596371876,0.5212543805400948,0.8973359506972953,0.6829808315127396,63.51428571428571,0.7086754365514863,24.0,219.7,0.63,0.275,0.625,0.667
423,kevin anderson,R,203.0,21.0,8.0,0.30445385077002324,0.09898080444298933,0.26933106575963717,0.629875283446712,0.8511218706596857,0.6465126565333671,55.42857142857143,0.6776433636639934,80.0,,,,,
