,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
42,fabrice santoro,R,178.0,43.0,35.0,15.0,0.36058433723715216,0.2235278827925887,0.366897804053701,0.548829297269147,0.7393030711650792,0.5655458434070658,83.82857142857142,0.6090735331179358,183.6,58.7%,40.3%,53.8%,30.8%
148,vincent spadea,R,183.0,,9.0,2.0,0.33455192374783355,0.1828517161850495,0.34259259259259256,0.42493524993524995,0.5476631393298059,0.5612278371159269,54.44444444444444,0.550974551320525,,,,,
172,carlos moya,R,190.0,,6.0,2.0,0.32638651526836615,0.15496031746031744,0.38425925925925924,0.5316498316498316,0.7748827561327563,0.5415123880748881,130.0,0.6270776946818614,,,,,
182,nicolas lapentti,R,188.0,,17.0,5.0,0.35252530157844786,0.1670380488104946,0.38322829131652664,0.536060362066554,0.6839291017163899,0.603377751143834,42.0,0.5936806948326779,,,,,
191,dominik hrbaty,R,183.0,,4.0,0.0,0.26600353756526085,0.291958041958042,0.08333333333333333,0.36742424242424243,0.5806277056277056,0.5320370472750504,40.5,0.5364182515111308,,,,,
202,tommy haas,R,188.0,,48.0,31.0,0.3529400853328408,0.22032511961473056,0.41050792531055696,0.5720053673178674,0.8571867368742367,0.6016636833391588,91.3125,0.6770925216119522,222.0,66.1%,39.5%,64.7%,51.7%
203,nicolas kiefer,R,183.0,,25.0,10.0,0.3478537880729374,0.19335981665393434,0.3557099567099567,0.5725819093187514,0.7383500584382938,0.516578386068861,72.4,0.6121111897807506,,,,,
204,andrei pavel,R,183.0,,5.0,0.0,0.2708158899483622,0.08080808080808081,0.39999999999999997,0.37666666666666665,0.6620979020979021,0.6365664831622279,47.6,0.5594740366016963,,,,,
214,arnaud clement,R,173.0,,32.0,13.0,0.35173879742820346,0.2044517611516451,0.28271355541818,0.5896309776824482,0.7296920950244289,0.588650206461546,45.65625,0.6099022075499018,211.5,61.4%,38.5%,54.5%,57.1%
226,guillermo canas,R,185.0,,14.0,3.0,0.3489454690202921,0.2097392757250121,0.47367234772696953,0.6489641311069884,0.7295570907788953,0.5125195787838682,74.64285714285714,0.603774358041228,,,,,
227,marat safin,R,193.0,,40.0,18.0,0.3536790147865759,0.19769946245275194,0.3685737106460791,0.5587584426443121,0.8120131906623842,0.556480862471383,70.975,0.649514135757735,163.6,62.1%,36.8%,35.3%,29.4%
229,sebastien grosjean,R,175.0,,5.0,0.0,0.3379156416189665,0.12649180884475003,0.38857142857142857,0.6538286713286714,0.6086783804430863,0.6167739687848384,61.4,0.5624581939799331,,,,,
235,lleyton hewitt,R,180.0,,51.0,32.0,0.41638144331044713,0.31678839926545665,0.4051368806126591,0.5872816725757901,0.7992119211760906,0.5306482961917186,64.92156862745098,0.6507743973168358,195.8,61.5%,39.3%,55.0%,40.0%
236,stefan koubek,L,175.0,,14.0,5.0,0.36605026541937863,0.22868906455862978,0.3873724489795918,0.39995824416723214,0.726160827476617,0.5344402472187286,44.285714285714285,0.6051287784001131,,,,,
238,rainer schuettler,R,180.0,,41.0,15.0,0.3715437976109768,0.22744017699182692,0.4532690886349423,0.53470532106604,0.6961383805896002,0.6269933432203705,75.4390243902439,0.5940034991105443,190.7,56.8%,43.0%,35.3%,55.6%
240,alberto martin,R,175.0,,27.0,7.0,0.34466646578104254,0.17588994157621607,0.32531470587026134,0.5159779237365445,0.684666764487026,0.5905090426433135,72.88888888888889,0.5854090506361898,,,,,
241,gaston gaudio,R,175.0,,6.0,1.0,0.3909766411252619,0.2252136752136752,0.5473137973137973,0.5388278388278388,0.5816798941798942,0.6489270286152012,57.333333333333336,0.5478798047666954,,,,,
244,juan carlos ferrero,R,183.0,,53.0,33.0,0.3861106238918976,0.26418682741348,0.4361869900679118,0.545086307822157,0.7722272327071341,0.6679062590689979,54.471698113207545,0.6294133865796843,222.8,60.3%,43.4%,66.7%,52.4%
247,ivan ljubicic,R,193.0,,55.0,32.0,0.3477580224827037,0.17255408289644514,0.37709008163553615,0.5452672075399349,0.856822637630008,0.5893473141896055,67.0909090909091,0.6770015724102437,230.7,66.6%,35.0%,63.6%,65.5%
249,roger federer,R,185.0,,71.0,59.0,0.38691878219164594,0.2611166141184019,0.447518928439981,0.5846147397203736,0.9106502719058855,0.6256790348746202,60.15492957746479,0.7175231510367707,227.9,68.8%,41.2%,47.6%,70.3%
252,george bastl,R,183.0,,2.0,1.0,0.4241917502787068,0.3131313131313131,0.49090909090909096,0.30952380952380953,0.6727272727272727,0.5228940045535037,46.5,0.5602074373893245,,,,,
255,christophe rochus,R,170.0,,41.0,14.0,0.36283955353312325,0.22508832435907114,0.3851011454669991,0.4748090961326257,0.6429953605423665,0.5944035713412649,77.36585365853658,0.5658179949118486,167.5,51.9%,40.6%,25.0%,50.0%
257,andreas vinciguerra,L,180.0,,7.0,3.0,0.3397755293345136,0.1479282622139765,0.3401360544217687,0.6407312925170068,0.7269010751153608,0.6815039284645902,39.285714285714285,0.6149571343177829,,,,,
260,jiri vanek,R,185.0,,2.0,0.0,0.18646734854445318,0.0625,0.25,0.5804195804195804,0.4951923076923077,0.528578697421981,36.5,0.5058514246947082,,,,,
261,nicolas massu,R,183.0,,17.0,6.0,0.3578042438279127,0.2202639344507857,0.48834482510953103,0.577779347718794,0.6652488447730662,0.6075430930017452,56.88235294117647,0.5726119835267232,,,,,
262,juan ignacio chela,R,190.0,,21.0,7.0,0.4030502987218022,0.2828882757454186,0.3942102070861469,0.6086967110076353,0.6486173879031022,0.6159021650520702,48.476190476190474,0.5709472862335041,,,,,
264,agustin calleri,R,183.0,,13.0,3.0,0.30618090209973653,0.15314770699386082,0.3847069597069597,0.49260878010878006,0.6446918842846444,0.5553266828486488,61.61538461538461,0.5724162042339004,,,,,
269,olivier rochus,R,168.0,,17.0,9.0,0.37216579068125166,0.2331973581973582,0.3928698752228164,0.4584680025856497,0.7568118879036745,0.6532101500031832,73.76470588235294,0.6257680590957829,,,,,
275,raemon sluiter,R,185.0,,5.0,4.0,0.3508652312599681,0.22380952380952382,0.43787878787878787,0.7942857142857143,0.8699999999999999,0.6803924619581018,81.0,0.6663468846506921,,,,,
276,hyung taik lee,R,180.0,,1.0,0.0,0.3783783783783784,0.18181818181818177,0.3333333333333333,0.6363636363636364,0.6363636363636364,0.5555555555555556,55.0,0.5555555555555556,,,,,
277,xavier malisse,R,185.0,,5.0,1.0,0.32518268297417974,0.16654713707345287,0.3746031746031746,0.7082051282051282,0.8191866028708134,0.6002692018658692,43.8,0.6269657430769711,,,,,
279,mikhail youzhny,R,183.0,,68.0,41.0,0.38654132134005803,0.2600790971306359,0.402217493675106,0.5053241896991898,0.7961348220215002,0.6194709059719661,58.69117647058823,0.6458417950935705,215.9,60.4%,40.2%,73.9%,41.4%
280,andy roddick,R,188.0,,61.0,46.0,0.36418681081826537,0.21400981354351403,0.38970000855246756,0.5050876263991019,0.910010602398817,0.6983561677987195,53.75409836065574,0.7303318594304683,227.9,64.5%,37.4%,53.3%,72.7%
283,michael russell,R,173.0,,5.0,2.0,0.40347452301333975,0.2885064935064935,0.3575396825396825,0.5723076923076923,0.7238095238095238,0.6828453939850999,42.4,0.5956269710681475,,,,,
284,jose acasuso,R,190.0,,42.0,21.0,0.3460157420977201,0.21164451631059333,0.3700902863496848,0.5819840057235017,0.7816564757216017,0.5542021010603847,71.54761904761905,0.6284562989514719,201.1,62.1%,39.0%,62.5%,37.5%
285,tommy robredo,R,180.0,,70.0,46.0,0.3890212326293934,0.2639432663204128,0.4273325044520698,0.5455890934462362,0.7938049025731707,0.6336147417347798,82.85714285714286,0.6545983886734424,262.8,61.4%,44.0%,82.4%,75.0%
286,nikolay davydenko,R,178.0,,74.0,57.0,0.4256041442311845,0.3297436080524315,0.42071967405878413,0.5571477321477319,0.8371115018173839,0.6802303749853598,49.62162162162162,0.66787271585709,240.3,63.7%,41.2%,57.1%,78.3%
288,albert montanes,R,175.0,,45.0,24.0,0.38579487672329077,0.261912726745028,0.45266239932906605,0.5692986352790275,0.756734691559253,0.5813983618713154,98.4,0.6229878584364171,233.7,59.7%,44.9%,70.0%,59.1%
289,david nalbandian,R,180.0,,21.0,14.0,0.4330415389606627,0.3671992596572429,0.5461555484664729,0.4182082189600986,0.7538666095808955,0.5162559574085545,57.714285714285715,0.6248268997593529,,,,,
290,james blake,R,185.0,,41.0,23.0,0.35128140583585576,0.19902707277452422,0.40033083447717593,0.5907907471931862,0.8234036826396943,0.5725022021645275,52.829268292682926,0.6529711315624247,203.7,63.2%,37.8%,46.7%,56.0%
292,michael llodra,L,190.0,,30.0,15.0,0.3371736706330275,0.16041473776767892,0.3648412698412698,0.5241402116402116,0.8510776723276725,0.6341974272701323,57.2,0.681137138156629,226.5,65.0%,33.8%,71.4%,56.3%
296,fernando gonzalez,R,183.0,,55.0,39.0,0.3659956395191311,0.22737306703302984,0.42478192930064573,0.6004515211467085,0.8794082308840505,0.6358308104617367,68.69090909090909,0.6857259017196545,210.6,70.7%,37.8%,60.0%,42.1%
297,jarkko nieminen,L,185.0,,22.0,8.0,0.3680430423873164,0.1938144334868934,0.3788009969828151,0.5720663175208629,0.731175917071639,0.6277702048233909,50.68181818181818,0.6015519201929761,,,,,
298,feliciano lopez,L,188.0,,40.0,17.0,0.32021369443558273,0.14773637242387241,0.34664873321123324,0.6156204906204907,0.7964909409762353,0.600981682496404,61.175,0.6442282452241846,198.4,62.3%,38.1%,38.9%,59.1%
299,flavio saretta,R,183.0,,1.0,0.0,0.41025641025641024,0.2727272727272727,0.3333333333333333,0.4,0.5,0.5571428571428572,47.0,0.5142857142857142,,,,,
305,taylor dent,R,188.0,,19.0,8.0,0.334860702225777,0.16605061605061605,0.43208458208458206,0.5681742234373812,0.760985797827903,0.5812695461508933,43.36842105263158,0.6354809187599934,,,,,
306,paul henri mathieu,R,185.0,,57.0,28.0,0.35392218247706303,0.20618437549008944,0.4498778511936406,0.5488188983932019,0.7714539688610894,0.5634239598271671,71.91228070175438,0.6207251981131693,,,,,
307,jurgen melzer,L,183.0,,61.0,35.0,0.36991904734962894,0.23130032669569794,0.38962867733359524,0.54983386376829,0.7964737301164494,0.5942918871139455,76.73770491803279,0.6490535347129819,212.1,58.9%,39.6%,50.0%,63.6%
309,david ferrer,R,175.0,,62.0,39.0,0.4273044933772068,0.3385445401731297,0.49358834681850117,0.5608915114757521,0.7593688225471907,0.612089586001352,58.82258064516129,0.6343456664106493,184.2,59.8%,42.6%,58.3%,23.5%
313,radek stepanek,R,185.0,,63.0,44.0,0.3993934070458573,0.26924105410416027,0.4170778330552766,0.5428365505746461,0.8038470756423723,0.613592578924454,62.84126984126984,0.6443066349151723,254.7,62.5%,40.5%,73.9%,77.8%
315,mardy fish,R,188.0,,37.0,21.0,0.36927437289891263,0.231701798652263,0.42812667812667815,0.5507860757860759,0.8297119377614736,0.5688827880207882,68.35135135135135,0.6656729476504207,186.6,62.7%,41.6%,38.5%,43.8%
319,mario ancic,R,196.0,,19.0,12.0,0.37171179070714355,0.22667862466624078,0.29154281391123493,0.5360218728639782,0.8273870006842143,0.5999435586558546,93.0,0.6661911840674196,,,,,
323,karol beck,R,180.0,,10.0,3.0,0.36920897828509325,0.22314102564102564,0.3731981303720434,0.4420436507936508,0.6188553113553112,0.5699950372930759,64.2,0.5557907010941724,,,,,
324,jean rene lisnard,R,173.0,,3.0,1.0,0.4076344781620011,0.33503898635477586,0.6098484848484849,0.6178266178266177,0.6678849902534113,0.4727790880503145,51.0,0.5873132861635221,,,,,
325,robby ginepri,R,183.0,,32.0,12.0,0.3548812913871511,0.2161736466148231,0.41492592955416235,0.5756589627477785,0.7471773911341928,0.6255868008338301,129.5,0.6148801620167457,162.1,57.5%,39.0%,26.7%,38.9%
326,rafael nadal,L,185.0,,76.0,62.0,0.4392690248465013,0.3660894628677136,0.48228626271389435,0.5364694919577191,0.8394198023225845,0.6700977984080003,39.96052631578947,0.6725644651713483,256.5,64.9%,47.0%,87.5%,57.1%
327,filippo volandri,R,183.0,,3.0,0.0,0.41386705707094057,0.2745370370370371,0.31678125795772855,0.5533834586466165,0.5349206349206349,0.7991991991991991,67.33333333333333,0.5223223223223222,,,,,
328,ruben ramirez hidalgo,R,183.0,,8.0,3.0,0.37216280683013947,0.1943542568542569,0.384375,0.6962606837606838,0.7483891108891109,0.552961635449158,42.25,0.6034564507081799,,,,,
329,victor hanescu,R,198.0,,56.0,26.0,0.3659361119211057,0.22134592910590808,0.403488997580384,0.5559226735566021,0.79099651224126,0.6916016557343632,79.78571428571429,0.640404128378063,175.4,61.7%,36.1%,41.2%,36.4%
330,oscar hernandez,R,180.0,,42.0,15.0,0.3552153819491673,0.20371130192558762,0.3982691250548393,0.5555352988126098,0.7019317653246225,0.663284324287273,68.85714285714286,0.5976046264041651,176.1,60.3%,38.8%,21.4%,55.6%
331,ivo karlovic,R,208.0,,43.0,21.0,0.2914347956803178,0.11687715436005446,0.35523255813953486,0.4945736434108527,0.9221453756508475,0.6638884345416008,77.06976744186046,0.7483801327703389,168.8,68.9%,32.3%,30.8%,36.8%
332,robin soderling,R,193.0,,64.0,44.0,0.39000853592970935,0.2778974150714911,0.4604922587114681,0.5936146318958817,0.8576748050075498,0.5965590740345247,54.9375,0.6924807267590579,207.2,64.9%,43.8%,50.0%,48.5%
333,richard gasquet,R,185.0,,37.0,22.0,0.37136042337315944,0.21925422881305237,0.37251761593866844,0.6157855223644698,0.7862861612861614,0.5807743061052495,75.10810810810811,0.6340931418002145,227.9,62.2%,34.4%,68.8%,62.5%
336,igor andreev,R,185.0,,56.0,26.0,0.36069486290514347,0.201887593032551,0.3843525761427133,0.5858040273218846,0.8041877147129249,0.6174894117745852,83.21428571428571,0.6437768367271187,178.2,60.7%,37.5%,40.0%,40.0%
337,dick norman,L,203.0,,1.0,0.0,0.3026315789473684,0.07692307692307687,0.3333333333333333,0.6666666666666666,0.7857142857142857,0.4875,43.0,0.675,,,,,
338,fernando verdasco,L,188.0,,75.0,51.0,0.41057725040304577,0.316601792809425,0.45237544808133046,0.5967373922373921,0.8400750203815215,0.690807491132232,51.053333333333335,0.6707132467264088,202.3,65.9%,44.5%,47.8%,44.1%
339,tomas berdych,R,196.0,,57.0,33.0,0.3749898787639978,0.2256029680100887,0.3723635039424513,0.5827322287848604,0.8055344010994165,0.5885773545081203,74.14035087719299,0.6554670980946832,216.0,61.2%,37.0%,54.2%,63.6%
340,florian mayer,R,190.0,,8.0,2.0,0.348142969591815,0.17008165445665446,0.27367216117216114,0.5635597041847042,0.7292467948717949,0.655158499365726,55.375,0.6144310844897574,,,,,
341,joachim johansson,R,198.0,,5.0,3.0,0.33020028141731994,0.13333333333333333,0.29999999999999993,0.7292307692307692,0.9533333333333334,0.6578763440860216,46.0,0.7439263124604681,,,,,
342,dmitry tursunov,R,185.0,,30.0,13.0,0.3561471713954125,0.21767969761003814,0.4521186384421678,0.6190924652689359,0.7976741153869639,0.5719934066644116,82.96666666666667,0.6396051328490847,193.9,65.1%,41.0%,54.5%,33.3%
343,julien benneteau,R,185.0,,54.0,26.0,0.36713428912000645,0.2191009263227185,0.37655104820137497,0.5476271670716115,0.7673658091421248,0.6596909278979937,60.53703703703704,0.6271595524945676,194.8,58.8%,40.2%,57.7%,38.1%
344,olivier patience,R,180.0,,2.0,0.0,0.25727773406766324,0.14545454545454545,0.5416666666666666,0.4464285714285714,0.7090909090909091,0.5462827097089753,23.0,0.5926876987038396,,,,,
346,thierry ascione,R,188.0,,4.0,1.0,0.2782351576994434,0.08175505050505052,0.20238095238095236,0.6071428571428572,0.7743055555555556,0.6780457964262173,57.75,0.650548302046934,,,,,
347,potito starace,R,188.0,,37.0,14.0,0.34757552877340986,0.19446472523097905,0.41413391413391426,0.5256289506289505,0.7384536600968828,0.7342430625116401,81.97297297297297,0.619102300475949,176.8,55.6%,39.4%,42.9%,38.9%
348,juan monaco,R,185.0,,59.0,35.0,0.4281279729196327,0.353946688904316,0.46407340305645395,0.48751159386752607,0.7645317451405765,0.6816083580943756,58.847457627118644,0.6246831770116943,192.7,56.3%,43.5%,42.9%,50.0%
349,philipp kohlschreiber,R,178.0,,62.0,37.0,0.38564971132862286,0.26009318814796684,0.41109415721045595,0.5646029567682713,0.8214205848266567,0.6605790789057457,85.19354838709677,0.6557036484559895,208.8,65.5%,41.4%,65.2%,36.7%
350,nicolas almagro,R,183.0,,53.0,29.0,0.3631643222335335,0.2158411870337217,0.4068590297488013,0.4785680956793514,0.8205448762445374,0.5910797339407983,70.15094339622641,0.6597686086053426,198.9,60.4%,40.3%,61.1%,37.1%
351,kristof vliegen,R,193.0,,18.0,7.0,0.3262679946968047,0.16175518992547977,0.33578042328042323,0.4738095238095238,0.7659644379149211,0.5988758862485051,64.27777777777777,0.6377928814991282,,,,,
352,yen hsun lu,R,180.0,,31.0,9.0,0.3511444625754697,0.18609299144877892,0.3658936046032821,0.5211390865091053,0.6939024379584152,0.612840314091404,83.03225806451613,0.5905465250488008,,,,,
353,jan hernych,R,190.0,,33.0,10.0,0.3528530847096806,0.19404336750593434,0.38331092308365045,0.5820302593029866,0.7111422173587949,0.6484167440515697,63.03030303030303,0.5954538946650713,160.2,58.7%,40.8%,35.7%,25.0%
354,ricardo mello,L,175.0,,1.0,0.0,0.2898550724637681,0.0,0.0,0.8,0.9090909090909091,0.5822784810126582,45.0,0.6455696202531646,,,,,
355,gilles muller,L,193.0,,14.0,5.0,0.29698676031790916,0.12009420368938088,0.2781512605042017,0.5833333333333333,0.8131072843810571,0.6335569581070283,117.57142857142857,0.6624666595171252,,,,,
356,nicolas mahut,R,190.0,,5.0,2.0,0.312907546805636,0.12962962962962962,0.22666666666666666,0.7422222222222222,0.8798412698412698,0.6368726944368911,42.4,0.6680664310011338,,,,,
357,gael monfils,R,193.0,,60.0,42.0,0.3774332834795586,0.25874378194618136,0.4233747271247272,0.6305489417989416,0.8424982683438562,0.6244071630683885,75.3,0.6609311354645172,229.2,63.4%,41.7%,63.2%,60.9%
358,ivo minar,R,183.0,,15.0,4.0,0.32594229037430006,0.18552016404647986,0.406031746031746,0.5689460539460539,0.7174777610303926,0.5965788543506908,70.93333333333334,0.6043843347184775,,,,,
359,kevin kim,R,180.0,,21.0,7.0,0.3225226175315117,0.1553485535628393,0.295500333000333,0.48413583770726637,0.6697493191854095,0.5428185154425424,90.19047619047619,0.5748301874962827,,,,,
361,guillermo garcia lopez,R,188.0,,55.0,28.0,0.39401577455355935,0.2737178581964678,0.3968860445774321,0.5370063507496663,0.729937795419079,0.6100561549360995,66.12727272727273,0.6083235849963387,,,,,
362,lukas dlouhy,R,185.0,,1.0,0.0,0.36363636363636365,0.19999999999999996,1.0,0.5714285714285714,0.8,0.6222222222222222,55.0,0.6444444444444445,,,,,
363,jerome haehnel,R,185.0,,1.0,0.0,0.24,0.0,0.0,0.5,0.625,0.6,63.0,0.56,,,,,
364,janko tipsarevic,R,180.0,,53.0,29.0,0.37112025886499317,0.24601428445768067,0.4276299141726446,0.5252333675372404,0.7901958628373721,0.5589586413067553,81.01886792452831,0.6430905566117536,186.8,60.6%,43.2%,30.8%,52.2%
365,marcos baghdatis,R,183.0,,31.0,16.0,0.39812185476136636,0.28512055096495326,0.4177291346646185,0.529549014131557,0.7826911746054361,0.5348381876984045,142.8709677419355,0.6371306786275602,161.4,61.9%,43.5%,14.3%,41.7%
367,stan wawrinka,R,183.0,,47.0,28.0,0.3917986530535936,0.26402899172496036,0.3835945121791559,0.6399126877850282,0.8191939779821371,0.578860515802521,64.17021276595744,0.6520615566245505,185.8,66.4%,38.1%,43.8%,37.5%
369,andreas seppi,R,190.0,,54.0,24.0,0.38636512633667053,0.25347341323648503,0.3940382015072417,0.510214553964554,0.7239578489169993,0.602759901884476,62.03703703703704,0.6082112421856947,188.1,56.7%,35.1%,58.8%,37.5%
370,florent serra,R,180.0,,53.0,24.0,0.35777789771158297,0.21488650084654523,0.3974187777323182,0.57865237487879,0.755243541758525,0.6130921661392662,57.79245283018868,0.6154148766454092,191.2,62.7%,36.8%,50.0%,41.7%
372,andy murray,R,190.0,,75.0,64.0,0.4372592958216962,0.36191368156329784,0.48144335294335283,0.595212741506859,0.8566989089914783,0.5823459793508117,55.626666666666665,0.6759564524934578,243.0,65.3%,45.7%,77.8%,54.2%
373,bjorn phau,R,175.0,,24.0,8.0,0.3559586562718356,0.20362299737299738,0.4536210317460318,0.49330229955229954,0.6695985727235727,0.5164158461242878,70.79166666666667,0.5793890884662497,,,,,
375,novak djokovic,R,188.0,,95.0,78.0,0.42465938274808157,0.33581428018327153,0.4363781302252869,0.5962539507276348,0.8485089506296934,0.6310231393800259,46.78947368421053,0.6629903269505081,247.3,66.5%,41.9%,81.8%,57.1%
376,santiago ventura,R,183.0,,8.0,3.0,0.36856386537348457,0.24752567693744165,0.3904761904761905,0.553837481962482,0.6825956298818141,0.6006918488201904,54.625,0.5909404352885269,,,,,
377,juan martin del potro,R,198.0,,67.0,51.0,0.39744484643817296,0.2753702338535526,0.4086580707849364,0.5812940169283454,0.8312016563285036,0.6178564280328352,44.17910447761194,0.663803064441733,251.2,65.0%,42.2%,77.3%,66.7%
378,benjamin becker,R,178.0,,31.0,13.0,0.32007650204805493,0.1657245611230431,0.36578341013824883,0.4353332151719249,0.7903087029984562,0.5797932459322934,92.35483870967742,0.6571235339438506,178.5,54.3%,48.5%,44.4%,31.3%
379,frank dancevic,R,185.0,,16.0,6.0,0.30387103407121085,0.13567071715049656,0.3958085317460318,0.5336805555555555,0.793793446137196,0.6141172787222894,34.75,0.6521552779550479,,,,,
380,gilles simon,R,183.0,,69.0,45.0,0.39401064918104145,0.27498620660385376,0.4414381583179537,0.641832322267105,0.8222844338573239,0.5497796544402977,77.71014492753623,0.6559831753818384,223.1,67.1%,42.9%,53.8%,59.3%
383,marcos daniel,R,180.0,,15.0,5.0,0.30362768826900394,0.14324268324268322,0.4078138528138528,0.5314983164983165,0.7378968253968254,0.5909647067723226,57.266666666666666,0.6174691487426167,,,,,
