,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
347,potito starace,R,188.0,,28.0,12.0,0.36275294641955574,0.22822123313194745,0.45571908250479687,0.5098924884639169,0.7000070465249036,0.7107841127525037,62.57142857142857,0.6012680954870723,208.5,56.9%,39.1%,50.0%,62.5%
348,juan monaco,R,185.0,,40.0,17.0,0.40138797719534675,0.2751798777847539,0.39679376179376186,0.553247446997447,0.7345844250778463,0.640028411153193,69.975,0.6071118458373486,158.6,54.7%,38.1%,27.3%,38.5%
349,philipp kohlschreiber,R,178.0,,44.0,24.0,0.36927675151610795,0.22330324347369795,0.38054691520600614,0.5721839713316986,0.7459636638613909,0.5650751472490254,65.11363636363636,0.6227468945116897,222.8,60.1%,36.9%,61.5%,64.3%
350,nicolas almagro,R,183.0,,45.0,26.0,0.3856232302537623,0.24207562771288263,0.4162242078908745,0.6392957822859784,0.8338314463314465,0.6041160855287637,84.71111111111111,0.6561258792278817,193.0,68.3%,36.3%,42.9%,45.5%
351,kristof vliegen,R,193.0,,53.0,31.0,0.3751916521078507,0.2375489971244688,0.40137561599825744,0.6035594908236418,0.8100785221068239,0.6385236835008335,79.13207547169812,0.6497209898311485,215.1,63.5%,39.5%,55.0%,57.1%
352,yen hsun lu,R,180.0,,4.0,1.0,0.297722738906682,0.13936237373737373,0.5694444444444444,0.3125,0.737689393939394,0.6067527576002152,47.25,0.6371051923594296,,,,,
353,jan hernych,R,190.0,,33.0,14.0,0.39279496941359743,0.2547975120906446,0.3990527149618059,0.5184689468780379,0.7117260094462458,0.6669324160857545,71.87878787878788,0.5972924322092351,189.8,53.3%,42.9%,30.0%,63.6%
354,ricardo mello,L,175.0,,5.0,0.0,0.2968859404540187,0.1429230769230769,0.30158730158730157,0.5821212121212122,0.6100769230769231,0.6229006982210941,53.6,0.5450817397866405,,,,,
355,gilles muller,L,193.0,,30.0,11.0,0.3338625549835022,0.16834573269867387,0.2951611351611352,0.619647852147852,0.7661457572928162,0.6074559502985004,109.23333333333333,0.6277082994158596,174.2,65.0%,35.9%,33.3%,40.0%
356,nicolas mahut,R,190.0,,30.0,11.0,0.31568758645531214,0.14934000982914025,0.3796097883597883,0.564457671957672,0.7689319667260843,0.6221347568009923,56.0,0.6218020517751003,200.1,59.8%,40.3%,75.0%,25.0%
357,gael monfils,R,193.0,,39.0,20.0,0.3906269466962885,0.2743199278941916,0.48274022521514154,0.501449938949939,0.7318232351194565,0.5709431105755087,59.23076923076923,0.6089561677370927,210.6,60.1%,45.5%,60.0%,45.0%
358,ivo minar,R,183.0,,11.0,1.0,0.3335501012313781,0.11872294372294374,0.2550865800865801,0.5564935064935065,0.7120310245310245,0.5955678922357014,48.0,0.5874055797340713,,,,,
359,kevin kim,R,180.0,,23.0,6.0,0.3562572008453166,0.19489429895271868,0.3746549344375431,0.46850745872485006,0.6579020585313492,0.5738021860208958,78.73913043478261,0.58650162600273,,,,,
