,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
116,jason stoltenberg,R,185.0,37.0,19.0,0.3800018237934611,0.24046772429125365,0.39400036900036906,0.5906498906498907,0.7551265640661926,0.5614158862065445,46.0,0.6141154009588631,146.0,29.5%,50.8%,24.0%,41.7%,209.5,61.9%,41.7%,58.8%,47.1%,
117,jordi burillo,R,188.0,29.0,13.0,0.407349731318815,0.29532394142589047,0.46638495604012853,0.5430922525750111,0.6990873173969125,0.5092990446327231,62.3448275862069,0.5967163478283128,164.4,35.6%,49.2%,30.9%,48.7%,182.7,55.5%,48.7%,40.0%,38.5%,
118,mikael pernfors,R,173.0,29.0,15.0,0.3870202711849961,0.2712329950869504,0.4608809772602876,0.5734761407175202,0.7260758877138186,0.5210622088814171,71.0,0.6008616221724066,157.9,31.0%,52.1%,29.3%,45.5%,207.9,61.7%,45.5%,54.5%,46.2%,
119,grant stafford,R,188.0,20.0,10.0,0.42054897625831,0.3065276798365034,0.43755633255633264,0.5203354284604285,0.6390609880315762,0.6379633721224389,58.4,0.5648259904563564,,,,,,,,,,,
120,younes el aynaoui,R,193.0,28.0,14.0,0.359803906894199,0.23685264898500194,0.3958114306328592,0.6681406653570521,0.7851740346488246,0.5555525118955313,77.28571428571429,0.6232982820238238,140.0,30.3%,48.0%,22.8%,38.9%,205.1,66.2%,38.9%,57.1%,42.9%,
121,slava dosedel,R,183.0,25.0,14.0,0.4361327843615843,0.3562492448727744,0.47430508672613947,0.4714714305302541,0.6225463882522706,0.6340358030128949,86.2,0.5567248887940921,172.3,37.6%,54.7%,35.1%,44.9%,215.1,50.2%,44.9%,60.0%,60.0%,
122,byron black,R,175.0,29.0,11.0,0.379656748016814,0.2500647819613337,0.4519110200144683,0.5290032285721941,0.6468406086813794,0.586846635267912,76.82758620689656,0.5650110139700926,161.9,29.9%,56.1%,29.5%,46.4%,193.4,58.6%,46.4%,42.9%,45.5%,
123,andrea gaudenzi,R,183.0,23.0,13.0,0.4037109024974103,0.29625766745331955,0.43767979731938544,0.5618841303623913,0.7544128576737272,0.6901166143751662,69.91304347826087,0.6173121119769351,,,,,,,,,,,
124,patrick rafter,R,185.0,16.0,7.0,0.3416658869181836,0.16071769037122297,0.5443948412698414,0.6651379870129869,0.7792939903234021,0.5901756032786954,66.875,0.6205347825942581,,,,,,,,,,,
125,daniel vacek,R,190.0,22.0,7.0,0.30285575607592075,0.13169826440577428,0.3729437229437229,0.5991748150839059,0.8047093941412125,0.6055297263646013,51.95454545454545,0.6430801279554047,122.9,23.7%,44.6%,15.4%,39.2%,173.4,60.4%,39.2%,30.0%,43.8%,
