,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
249,roger federer,R,185.0,72.0,61.0,0.4121195350263011,0.30936133016402617,0.42300390638968055,0.48884761072261074,0.9267355159818396,0.6415167144642004,39.666666666666664,0.7321984379237649,235.2,0.684,0.409,0.6920000000000001,0.5670000000000001,3.0
285,tommy robredo,R,180.0,43.0,23.0,0.3641388179667604,0.23859607844415964,0.43017893798907564,0.5657389122505402,0.7721849745481758,0.628413322594507,68.83720930232558,0.6311862312924419,208.3,0.612,0.42100000000000004,0.588,0.462,42.0
298,feliciano lopez,L,188.0,58.0,32.0,0.3412174928237752,0.1612990843440828,0.33397650443929927,0.6527383611548765,0.8465470796364171,0.5725870147019553,93.34482758620689,0.6684204500774693,215.7,0.703,0.331,0.48,0.643,17.0
306,paul henri mathieu,R,185.0,16.0,5.0,0.3506681581100727,0.20598937596220201,0.41951121794871793,0.6088045634920635,0.7321295024420024,0.571151506029587,52.125,0.6068564935903779,,,,,,95.0
309,david ferrer,R,175.0,69.0,53.0,0.43568593324039095,0.35751869539054887,0.4757378769304711,0.5940930292592697,0.8015127730213878,0.6239865525789791,52.608695652173914,0.6436191443559053,248.9,0.6,0.442,0.882,0.565,7.0
326,rafael nadal,L,185.0,80.0,60.0,0.4160991784486874,0.3313372901608195,0.42740325737858614,0.5774312319624818,0.8378786068163002,0.679528310622714,48.4,0.671113880979286,221.1,0.621,0.425,0.609,0.556,5.0
331,ivo karlovic,R,208.0,63.0,38.0,0.2902662005199808,0.09844972410098458,0.3114672805148996,0.5914733414733415,0.9547011691403359,0.6635623186389693,77.80952380952381,0.7552761072269667,208.6,0.797,0.312,0.556,0.42100000000000004,23.0
333,richard gasquet,R,185.0,60.0,43.0,0.3856384584104388,0.25661600303434656,0.4652913195192607,0.5465901791445271,0.8571107060852311,0.633895770950443,50.833333333333336,0.6891770182754852,230.1,0.6459999999999999,0.408,0.647,0.6,9.0
338,fernando verdasco,L,188.0,50.0,24.0,0.3534353704089764,0.19371856443156252,0.34544146376499313,0.5714978077478079,0.8264134702443525,0.6459221640078687,64.82,0.6611163710137081,198.2,0.6629999999999999,0.349,0.522,0.44799999999999995,49.0
339,tomas berdych,R,196.0,79.0,57.0,0.3990388172261931,0.2824368449084324,0.466586402345896,0.5354669943277537,0.8542568755720769,0.5662045218410581,45.0253164556962,0.6828296391447239,243.4,0.626,0.45899999999999996,0.643,0.706,6.0
