,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
0,richard krajicek,R,196.0,17.0,8.0,0.3477980060840379,0.1805900702527,0.4257002801120448,0.6168576521517697,0.7813260269142622,0.5214126650019543,61.294117647058826,0.6281977760318638,92.0,,,,,
1,thomas enqvist,R,190.0,32.0,9.0,0.34496233873197985,0.18373098255910758,0.43091040903540906,0.5342169115606615,0.7473762399773427,0.5421511186946457,47.875,0.6204563986244369,96.0,156.2,0.573,0.35600000000000004,0.33299999999999996,0.3
12,magnus larsson,R,193.0,2.0,0.0,0.3225591151792525,0.10507246376811591,0.30000000000000004,0.5584415584415584,0.7613636363636364,0.6450715421303657,28.5,0.626987281399046,34.0,,,,,
14,kenneth carlsen,L,190.0,32.0,12.0,0.3487006407145836,0.18068135317554823,0.35505587651727355,0.4901194291819292,0.7708994172483435,0.5806504575970945,138.09375,0.6322163056750514,64.0,192.4,0.574,0.325,0.4,0.625
15,todd martin,R,198.0,27.0,16.0,0.3634381365739008,0.21625174833235833,0.4771904535793425,0.6322043969102791,0.8484652936407323,0.588058362548819,73.11111111111111,0.6608275982591669,68.0,,,,,
31,marc rosset,R,201.0,10.0,3.0,0.3229742725936423,0.13202380952380954,0.39191919191919194,0.5501495726495726,0.7471717171717172,0.5752025629523492,37.4,0.618155801828829,35.0,,,,,
37,goran ivanisevic,L,193.0,1.0,0.0,0.2916666666666667,0.11111111111111116,1.0,0.42857142857142855,0.5555555555555556,0.6458333333333334,24.0,0.5625,4.0,,,,,
42,fabrice santoro,R,178.0,35.0,15.0,0.3835415688748465,0.2587937440956017,0.37920508063365216,0.43994758002521983,0.6988224529905204,0.5998033212216317,62.857142857142854,0.6025936990344936,62.0,168.7,0.5710000000000001,0.392,0.474,0.25
60,michael chang,R,175.0,9.0,1.0,0.3039847154584958,0.11829528496195163,0.2962962962962963,0.2851851851851852,0.6474019807353141,0.5608496810258983,29.333333333333332,0.5775701510511075,6.0,,,,,
74,wayne ferreira,R,185.0,40.0,23.0,0.36606852873961293,0.2217046933329828,0.33253114124437655,0.5980747724497724,0.8112806978238479,0.5779237275292342,95.5,0.6432407315501608,26.0,217.8,0.639,0.34,0.778,0.42100000000000004
92,stefano pescosolido,R,185.0,1.0,0.0,0.3,0.11111111111111116,0.5,0.6363636363636364,0.5,0.5,40.0,0.5178571428571429,62.0,,,,,
93,andre agassi,R,180.0,57.0,47.0,0.4425944753360059,0.38483865789701394,0.4969110897129473,0.5868336828863147,0.8784677894594755,0.6212097008990952,67.0701754385965,0.6874414801156201,4.0,239.9,0.645,0.466,0.588,0.7
96,renzo furlan,R,175.0,4.0,1.0,0.37620093485387235,0.21944444444444447,0.41666666666666663,0.3875,0.7462121212121212,0.6077113679226356,44.5,0.6401057341198186,53.0,,,,,
