,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
249,roger federer,R,185.0,3.0,28.0,21.0,0.39640953158091635,0.2752441302861471,0.3953313551527836,0.4976190476190476,0.8973462549355407,0.6233959297474628,76.03571428571429,0.7158236156529905,,,,,,,,,,
285,tommy robredo,R,180.0,43.0,8.0,2.0,0.3021933710793651,0.10939894636015327,0.2625,0.5925178987678987,0.6790527700520894,0.6140907721090564,52.375,0.5859737743330931,,,,,,,,,,
298,feliciano lopez,L,188.0,19.0,55.0,31.0,0.3532840415267446,0.1790232401129825,0.36328222282767725,0.6100327450327452,0.8446970161935023,0.5784639491344777,84.25454545454545,0.6662716738724116,127.8,28.0%,47.5%,17.1%,35.2%,206.6,64.6%,35.2%,50.0%,56.8%
306,paul henri mathieu,R,185.0,96.0,37.0,18.0,0.36616365183791855,0.22408191967015503,0.4224718224718226,0.5483312483312485,0.7585611063552244,0.5554187238926898,87.4054054054054,0.6120828100550408,,,,,,,,,,
309,david ferrer,R,175.0,8.0,58.0,36.0,0.4104906065084614,0.3062166621203666,0.43395141172778096,0.5471496950198776,0.7958745996188962,0.6134752989250172,86.34482758620689,0.6413119600240453,155.4,31.6%,53.4%,29.1%,41.3%,202.4,63.2%,41.3%,57.9%,40.0%
326,rafael nadal,L,185.0,5.0,53.0,39.0,0.4377165398125734,0.3820402273684858,0.46762181738596814,0.5901935960204553,0.8086488190641788,0.7068408165407465,45.660377358490564,0.646289769025129,177.9,35.5%,56.1%,40.8%,45.5%,215.1,69.6%,45.5%,60.0%,40.0%
331,ivo karlovic,R,208.0,23.0,56.0,32.0,0.26699975762593947,0.0754634546628715,0.29972557204700057,0.6124503968253968,0.9197596272855252,0.6374819848198713,79.125,0.7227808391862408,96.2,19.7%,39.4%,7.4%,29.7%,230.3,72.7%,29.7%,66.7%,61.2%
333,richard gasquet,R,185.0,9.0,53.0,35.0,0.4077878337777517,0.30553854616153814,0.4738294523949352,0.5337625163096862,0.789296894212485,0.6150592456094554,70.26415094339623,0.6487184517296037,157.3,32.1%,52.4%,29.2%,43.6%,237.1,61.1%,43.6%,53.8%,78.6%
338,fernando verdasco,L,188.0,47.0,55.0,29.0,0.3781129942164264,0.24023449915451778,0.3702174205692359,0.5760552074188439,0.8066899957878799,0.6403646631509569,81.30909090909091,0.6508993330551679,141.1,31.2%,48.9%,23.2%,37.8%,190.1,63.4%,37.8%,33.3%,55.6%
339,tomas berdych,R,196.0,6.0,59.0,39.0,0.3644910872741703,0.22163414068396492,0.37923110455513237,0.5759165504928218,0.8338493906837787,0.5730845979980894,52.32203389830509,0.6608574562460549,139.8,28.6%,50.1%,21.9%,39.2%,233.3,63.8%,39.2%,78.6%,51.7%
348,juan monaco,R,185.0,53.0,29.0,15.0,0.39697873927194016,0.2828607249126092,0.38355569498411396,0.5232469637642051,0.6947333849797286,0.7461801312615101,51.37931034482759,0.6010831253294192,154.2,31.8%,53.2%,29.7%,39.5%,221.7,58.9%,39.5%,83.3%,40.0%
349,philipp kohlschreiber,R,178.0,34.0,53.0,32.0,0.3847238110656844,0.2602052566894264,0.3735970307966337,0.5787729566031453,0.8166008598436211,0.5968559144012252,76.11320754716981,0.6498986931536915,141.3,30.2%,50.0%,23.9%,37.2%,217.5,62.2%,37.2%,71.4%,46.7%
