,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
249,roger federer,R,185.0,17.0,57.0,52.0,0.40571051135840885,0.2868803324921242,0.4227449451133661,0.5124014100794287,0.9265088136686634,0.6216207832569085,47.14035087719298,0.7307097949388892,150.9,32.4%,51.5%,26.7%,40.3%,259.1,67.5%,40.3%,81.3%,70.0%
279,mikhail youzhny,R,183.0,59.0,29.0,9.0,0.3504104308314819,0.1956649604621207,0.43893557422969187,0.5976045984666676,0.7081272184665341,0.6067309961428458,116.48275862068965,0.5905072929545732,135.8,27.8%,48.0%,20.1%,39.9%,175.6,61.9%,39.9%,18.2%,55.6%
298,feliciano lopez,L,188.0,28.0,48.0,25.0,0.3279673688486217,0.16970756809911222,0.3670410029785031,0.5612494443908916,0.8233073644991536,0.5949982263767398,78.58333333333333,0.6646820219882433,122.4,25.4%,45.3%,16.9%,34.8%,204.2,65.4%,34.8%,52.4%,51.6%
306,paul henri mathieu,R,185.0,73.0,4.0,0.0,0.3013594751193972,0.0801003344481605,0.12410714285714286,0.5666666666666667,0.6775561395126612,0.5510114216383567,59.25,0.5839208016065601,,,,,,,,,,
309,david ferrer,R,175.0,21.0,45.0,24.0,0.39623586782430753,0.2740434121956795,0.3964963561454789,0.6028256928256931,0.7599815995393576,0.5914640513576952,65.4,0.6240833959269754,145.8,31.4%,51.3%,25.4%,37.7%,202.1,62.0%,37.7%,66.7%,35.7%
326,rafael nadal,L,185.0,9.0,77.0,67.0,0.4398657680574704,0.3738380541615231,0.4397501261576891,0.6042259327973615,0.8979514872834397,0.6750658822384672,38.5974025974026,0.7083777354995374,164.3,34.6%,55.6%,32.7%,41.4%,241.2,70.3%,41.4%,64.3%,65.2%
331,ivo karlovic,R,208.0,20.0,35.0,15.0,0.25937674171291847,0.06655449006596782,0.21698412698412695,0.5361791383219955,0.9224263981854114,0.6507342959920153,78.88571428571429,0.7274115000943094,94.4,18.4%,40.6%,6.3%,29.1%,196.5,72.4%,29.1%,54.5%,40.5%
333,richard gasquet,R,185.0,18.0,47.0,29.0,0.3918570505602272,0.28056284731816644,0.45001823722099066,0.5607354229694655,0.8256050913566889,0.6236215078679869,57.361702127659576,0.6522519837312497,150.6,29.6%,54.1%,26.0%,40.9%,197.6,64.1%,40.9%,63.2%,29.4%
338,fernando verdasco,L,188.0,40.0,54.0,29.0,0.394678146667944,0.2748639046060187,0.4482337621226509,0.5274943798636611,0.7829293226365136,0.690367087637432,58.74074074074074,0.6459006542406037,149.5,30.5%,52.5%,25.1%,41.4%,197.5,60.8%,41.4%,28.6%,66.7%
339,tomas berdych,R,196.0,10.0,53.0,35.0,0.361028294809451,0.22019164397077823,0.4789285980631345,0.6056460834762724,0.8704867598180585,0.5781996468227586,74.94339622641509,0.6883750942120719,138.6,25.1%,51.1%,19.8%,42.6%,212.7,66.7%,42.6%,46.7%,56.7%
340,florian mayer,R,190.0,49.0,25.0,9.0,0.3186604318887169,0.1762263161674926,0.35188744588744586,0.5790805860805861,0.7559841704563068,0.6129984031200465,47.44,0.6246321286386286,,,,,,,,,,
348,juan monaco,R,185.0,66.0,3.0,0.0,0.3657608695652173,0.23838383838383836,0.5952380952380952,0.521885521885522,0.6072649572649572,0.6357821283194417,64.33333333333333,0.5577254420538003,,,,,,,,,,
349,philipp kohlschreiber,R,178.0,32.0,51.0,32.0,0.3801256208079691,0.25788919846013275,0.41390270949094476,0.5964364067305244,0.8391613832790304,0.59721809529671,68.82352941176471,0.6667435048074739,144.1,29.1%,50.8%,23.0%,41.2%,221.6,64.4%,41.2%,60.0%,56.0%
350,nicolas almagro,R,183.0,43.0,22.0,10.0,0.3551709195827191,0.20281246531246533,0.4117604617604618,0.40293191656828015,0.7215608700568592,0.5495397901274844,60.18181818181818,0.6176571112022518,,,,,,,,,,
352,yen hsun lu,R,180.0,61.0,23.0,9.0,0.37917298104850494,0.2705633546618201,0.3621450282491473,0.5242157600853252,0.7713990385857393,0.585199483696116,112.21739130434783,0.6510736507628284,,,,,,,,,,
355,gilles muller,L,193.0,34.0,48.0,30.0,0.327142468432205,0.1577794789723135,0.38528132746882743,0.6503741050616051,0.8900557444433216,0.6300944453957412,103.60416666666667,0.695521748787272,120.2,24.6%,45.8%,14.0%,35.8%,243.1,72.6%,35.8%,69.2%,65.5%
356,nicolas mahut,R,190.0,38.0,30.0,12.0,0.3417672327015418,0.1750257612757613,0.3607905982905983,0.5716483516483516,0.784598989387992,0.6156656837870101,73.43333333333334,0.6332210793049875,118.0,25.7%,46.9%,15.1%,30.3%,203.2,62.4%,30.3%,46.2%,64.3%
357,gael monfils,R,193.0,6.0,34.0,20.0,0.38888611663621897,0.26127770828394575,0.42711195576110894,0.5405121970452195,0.8109999405125522,0.6280470161425183,64.26470588235294,0.6481390550106799,148.6,32.8%,48.8%,25.8%,41.2%,203.6,62.4%,41.2%,50.0%,50.0%
361,guillermo garcia lopez,R,188.0,74.0,17.0,4.0,0.3204897313059338,0.1496966269025093,0.37079831932773105,0.584604447839742,0.6888996624290742,0.5459617145534191,54.588235294117645,0.5793105310540935,,,,,,,,,,
365,marcos baghdatis,R,183.0,36.0,34.0,18.0,0.3631595572462704,0.2039218446874156,0.3401992615227909,0.5345121381886087,0.8119024117942804,0.519980822506421,100.82352941176471,0.6406809870617631,131.7,29.0%,46.8%,19.5%,36.4%,227.6,62.4%,36.4%,75.0%,53.8%
367,stan wawrinka,R,183.0,4.0,37.0,26.0,0.3596817342028366,0.2186667377843848,0.3911900411900412,0.5917567792567794,0.8494559361499731,0.5912271899388486,40.7027027027027,0.6674110812264431,140.5,28.8%,49.3%,22.3%,40.1%,250.5,65.4%,40.1%,75.0%,70.0%
369,andreas seppi,R,190.0,85.0,34.0,16.0,0.3639133769187464,0.21890461471614028,0.4292284560883177,0.5750477151644972,0.7511407433684895,0.5610830937953842,66.32352941176471,0.6205284796035095,140.3,28.1%,48.6%,21.1%,42.5%,207.8,61.9%,42.5%,62.5%,40.9%
372,andy murray,R,190.0,1.0,35.0,25.0,0.4290744156611006,0.33540565237952885,0.49192286938085245,0.4761279057077376,0.8020232726878019,0.5929324549494889,52.371428571428574,0.6538488971842221,168.6,34.7%,53.9%,32.2%,47.8%,202.8,55.8%,47.8%,28.6%,70.6%
375,novak djokovic,R,188.0,2.0,40.0,32.0,0.4127066884416437,0.3155659618159619,0.444037420912421,0.5937307422969188,0.8468363812113809,0.667657974712116,57.1,0.6675671719889505,164.0,33.5%,55.3%,30.6%,44.6%,249.7,62.6%,44.6%,80.0%,62.5%
377,juan martin del potro,R,198.0,39.0,54.0,38.0,0.36696436819881956,0.22161783840705412,0.43036518522629635,0.5449829551953735,0.8521376982978287,0.6437720074822835,64.83333333333333,0.6748926537865508,137.4,28.0%,49.9%,21.0%,38.5%,241.4,60.3%,38.5%,70.6%,72.0%
380,gilles simon,R,183.0,25.0,41.0,16.0,0.38209364047937217,0.24978148786198318,0.4177426909134226,0.5502589336723201,0.7068496829087331,0.548812547827752,66.92682926829268,0.6047205059326834,148.0,30.4%,50.6%,24.1%,42.9%,185.7,59.5%,42.9%,50.0%,33.3%
382,carlos berlocq,R,183.0,95.0,33.0,13.0,0.3738815277963403,0.2296372085723399,0.444582732082732,0.5591576328207344,0.6910966022102968,0.6125694138826322,72.84848484848484,0.5904723409173797,142.5,29.1%,49.3%,21.9%,42.2%,200.5,57.3%,42.2%,38.5%,62.5%
396,mischa zverev,L,190.0,50.0,62.0,30.0,0.33700739105094224,0.17331567414312668,0.41864487241621967,0.5843293277790929,0.789816643785017,0.6520097393818771,79.87096774193549,0.6391910809688915,134.0,28.7%,45.5%,18.0%,41.8%,207.3,64.8%,41.8%,60.0%,40.7%
397,sam querrey,R,198.0,31.0,57.0,36.0,0.37007007132169056,0.23446406777986667,0.46782742111689485,0.5432242221715907,0.8485361148010248,0.5725978639748144,94.6140350877193,0.6795159711664928,141.8,28.5%,48.7%,21.5%,43.1%,223.1,63.4%,43.1%,64.7%,51.9%
409,jo-wilfried tsonga,R,188.0,12.0,53.0,38.0,0.3869216260573929,0.2526604946416267,0.4169440622270812,0.5030850814484942,0.8904234483500274,0.6111544817998105,61.83018867924528,0.7071575600951475,144.3,30.2%,50.4%,23.3%,40.4%,214.7,64.4%,40.4%,56.3%,53.6%
413,robin haase,R,190.0,58.0,58.0,28.0,0.37001296851009,0.2342751699868208,0.3909088441302596,0.559856546709995,0.7878872201036853,0.5920301429662406,78.70689655172414,0.6445237826679392,137.8,29.2%,50.2%,21.8%,36.6%,171.1,60.3%,36.6%,33.3%,40.9%
414,steve darcis,R,178.0,80.0,40.0,20.0,0.3589513265871426,0.21507598838397057,0.3937414668664668,0.5281783820754409,0.6777882120767689,0.6196176590103242,66.825,0.5903032326592024,149.6,31.0%,48.3%,23.9%,46.4%,189.2,58.1%,46.4%,62.5%,22.2%
415,fabio fognini,R,178.0,47.0,59.0,36.0,0.3885837036851919,0.26989710673553874,0.41768015412083204,0.5580220474662152,0.7429052069180596,0.5878527902444387,95.71186440677967,0.6128850868089538,146.3,31.2%,50.1%,26.0%,39.0%,224.8,59.1%,39.0%,66.7%,60.0%
416,marin cilic,R,198.0,7.0,66.0,44.0,0.3972856052079017,0.2666665842424386,0.4251721740956191,0.5285790808518082,0.860679180223365,0.5850991383108305,65.8030303030303,0.6982300173338052,144.1,30.9%,51.4%,23.6%,38.2%,197.9,60.9%,38.2%,45.5%,53.3%
417,marcel granollers,R,190.0,37.0,19.0,3.0,0.3553480203919347,0.173413647755753,0.30584795321637437,0.5406015037593985,0.6739503015044811,0.6489235267764452,108.57894736842105,0.589908704897333,,,,,,,,,,
418,thomaz bellucci,L,188.0,62.0,34.0,14.0,0.36748405082615015,0.2107479463059048,0.4469689795928186,0.4730376049363938,0.7244596968775172,0.5815651447439337,93.52941176470588,0.6147408595153419,139.2,27.9%,50.8%,20.8%,39.7%,172.4,54.2%,39.7%,38.5%,40.0%
419,viktor troicki,R,193.0,29.0,51.0,24.0,0.356069930776122,0.18771342826868467,0.37375247781822174,0.5311368914310092,0.7320279209281766,0.6086211875435978,64.90196078431373,0.6205353969954293,132.4,28.1%,48.5%,18.5%,37.3%,221.8,58.3%,37.3%,64.3%,61.9%
