,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
333,richard gasquet,R,185.0,10.0,68.0,44.0,0.39289288958015256,0.26805762488780627,0.42266381494322663,0.5784531236737118,0.81564021743469,0.60992046719327,48.01470588235294,0.6614208679927172,148.5,30.3%,53.9%,25.5%,38.8%,218.1,64.0%,38.8%,63.6%,51.7%
338,fernando verdasco,L,188.0,24.0,52.0,28.0,0.37454333215165325,0.22102586486141185,0.3580605511883793,0.5427919036092111,0.8024622050399408,0.6205707859246036,67.98076923076923,0.65401349465026,139.2,29.9%,50.5%,21.4%,37.4%,204.1,60.6%,37.4%,47.8%,58.3%
339,tomas berdych,R,196.0,6.0,73.0,49.0,0.3961710866327901,0.2766456583018588,0.4283881073264635,0.583187892776934,0.8611820792876113,0.5868536260366819,41.0,0.6752831470348716,150.5,30.3%,53.9%,25.1%,41.2%,203.6,67.4%,41.2%,45.0%,50.0%
340,florian mayer,R,190.0,28.0,54.0,29.0,0.37279672604973796,0.23980579066718605,0.39654144723589163,0.5324957449957451,0.7672328246674651,0.631717609594781,78.20370370370371,0.6182216551452647,141.5,30.3%,47.5%,22.8%,40.9%,202.6,58.5%,40.9%,58.8%,44.4%
343,julien benneteau,R,185.0,35.0,51.0,26.0,0.37915184342589525,0.24167935721456105,0.3886832954307002,0.4776824754765931,0.7704717488435707,0.6331419852459854,56.78431372549019,0.6291389960832566,143.7,30.0%,50.3%,23.8%,39.6%,176.5,55.5%,39.6%,23.1%,58.3%
348,juan monaco,R,185.0,12.0,43.0,22.0,0.4237767494463489,0.33031464409623373,0.4944662401741744,0.4841505241984039,0.7373203541844194,0.6899544342013958,68.25581395348837,0.6139100697513072,161.2,32.2%,54.9%,30.8%,43.3%,159.3,54.1%,43.3%,28.6%,33.3%
349,philipp kohlschreiber,R,178.0,19.0,54.0,30.0,0.3532081946892994,0.20183167005090472,0.4311755117310672,0.5678337608893165,0.8309598878500217,0.589662121800456,70.01851851851852,0.6690902669860735,134.2,27.6%,48.6%,18.7%,39.3%,216.2,66.0%,39.3%,53.3%,57.6%
350,nicolas almagro,R,183.0,11.0,65.0,42.0,0.3901148942312963,0.26694510987676023,0.4716175830202978,0.48485307427615104,0.8554070314591863,0.5711417550954122,60.292307692307695,0.6871360552091741,149.5,29.0%,51.7%,24.7%,44.1%,208.9,64.8%,44.1%,50.0%,50.0%
352,yen hsun lu,R,180.0,60.0,34.0,18.0,0.40382943517260345,0.2795639125722246,0.4431974479768598,0.4991444829680122,0.7710625301098447,0.6268901975463589,127.94117647058823,0.6370761856009155,,,,,,,,,,
355,gilles muller,L,193.0,69.0,10.0,2.0,0.27826196894152305,0.0780606893106893,0.265952380952381,0.5797619047619047,0.7369813519813521,0.5910591308807597,57.5,0.6229915723798547,,,,,,,,,,
357,gael monfils,R,193.0,99.0,55.0,33.0,0.3874333299792149,0.270547362773068,0.3775798242161879,0.5556027116080592,0.8056849006096652,0.662057990271497,63.25454545454546,0.6450498627368972,145.6,32.4%,48.0%,25.3%,39.9%,204.4,63.8%,39.9%,52.6%,48.1%
361,guillermo garcia lopez,R,188.0,81.0,42.0,21.0,0.3835911470712701,0.2552967535110392,0.40313899063899056,0.5432547222463189,0.7145362366309955,0.550495060267813,71.5,0.6014856704584475,,,,,,,,,,
364,janko tipsarevic,R,180.0,9.0,38.0,15.0,0.3375775403033397,0.16349264038808387,0.3333300471458365,0.6596186063678323,0.7777857883168507,0.5732704706997609,92.78947368421052,0.6234414542951074,133.9,27.1%,49.1%,19.4%,38.3%,201.7,67.9%,38.3%,69.2%,26.3%
365,marcos baghdatis,R,183.0,31.0,32.0,11.0,0.33941437729369606,0.17782673311165959,0.33645723914565834,0.5755810801041064,0.7957057877783978,0.5231293130156537,46.03125,0.6357027338274949,126.5,25.2%,48.9%,17.8%,34.6%,153.9,64.3%,34.6%,25.0%,30.0%
367,stan wawrinka,R,183.0,17.0,73.0,52.0,0.38933999063945557,0.2578599475130267,0.40609215746202054,0.601665077692475,0.8485984089388187,0.5962941807212182,49.013698630136986,0.6685906217743038,142.2,30.6%,50.0%,23.3%,38.3%,222.4,65.8%,38.3%,65.2%,53.1%
369,andreas seppi,R,190.0,23.0,55.0,28.0,0.3851005733531677,0.24898475646401455,0.3641030092901751,0.5118458455420176,0.753783520697959,0.5929501963059385,54.56363636363636,0.6207038991140931,142.3,28.7%,51.1%,23.3%,39.2%,195.4,58.8%,39.2%,50.0%,47.4%
372,andy murray,R,190.0,3.0,47.0,38.0,0.43193492856426285,0.33823445366525534,0.42859404362846165,0.6157377492483878,0.8356318153408264,0.6171300774346818,88.34042553191489,0.6591393392533115,163.4,33.7%,54.7%,31.0%,44.0%,269.3,65.7%,44.0%,90.0%,69.6%
373,bjorn phau,R,175.0,78.0,7.0,2.0,0.33104550977536235,0.12967032967032965,0.23044217687074828,0.29931972789115646,0.6295482295482296,0.5260023876411392,113.71428571428571,0.5626649161849054,,,,,,,,,,
375,novak djokovic,R,188.0,1.0,76.0,67.0,0.4463514544998133,0.37316076501694395,0.4498866813011549,0.5526093961078481,0.8913324615772368,0.657607309580569,34.276315789473685,0.7128715935124241,165.9,35.4%,55.2%,33.2%,42.1%,246.4,65.0%,42.1%,71.4%,67.9%
377,juan martin del potro,R,198.0,7.0,67.0,51.0,0.38842602800737086,0.2550509764842513,0.43367457583875496,0.5976729226290245,0.8754791277398827,0.6517144336384085,53.850746268656714,0.6834488505682844,145.9,28.3%,53.0%,23.5%,41.1%,231.0,65.6%,41.1%,60.7%,63.6%
378,benjamin becker,R,178.0,65.0,30.0,10.0,0.3214912554197642,0.15180286761169112,0.3281201369436664,0.49793169793169784,0.7485650033947249,0.5704455057815404,56.5,0.6244226980149229,,,,,,,,,,
380,gilles simon,R,183.0,16.0,57.0,35.0,0.38949193780423164,0.26609768036911663,0.3865189799116528,0.5732202715720722,0.7345671717068306,0.5658903746188504,71.85964912280701,0.6057238441348799,152.5,32.1%,52.2%,27.4%,40.8%,232.2,62.7%,40.8%,64.7%,64.0%
382,carlos berlocq,R,183.0,67.0,49.0,25.0,0.3726213733847917,0.2490921609192602,0.38421881406575276,0.48714601724805795,0.7574239769167742,0.6775481912132727,69.0,0.6373824649028081,148.6,29.7%,53.0%,25.1%,40.8%,190.7,58.1%,40.8%,52.9%,38.9%
391,alejandro falla,L,185.0,53.0,28.0,11.0,0.3837190465744409,0.2624672683758818,0.47679344465058743,0.49274525078096504,0.6892588066695209,0.561860943546457,71.28571428571429,0.5754098101190123,149.4,29.3%,50.9%,24.4%,44.8%,178.0,55.7%,44.8%,37.5%,40.0%
397,sam querrey,R,198.0,22.0,47.0,25.0,0.3373703581368334,0.1692924654535636,0.31605970861290006,0.5269050689263457,0.8257285595944259,0.5975998795768886,60.48936170212766,0.6670735178596486,122.1,26.5%,45.4%,16.1%,34.1%,196.8,61.4%,34.1%,52.9%,48.4%
407,simone bolelli,R,183.0,80.0,11.0,4.0,0.3346664713524885,0.17358815426997246,0.3822609208972846,0.3852157943067034,0.7478271728271728,0.6297610525305901,62.09090909090909,0.6216943266350822,,,,,,,,,,
409,jo-wilfried tsonga,R,188.0,8.0,52.0,36.0,0.36419963479509343,0.21993087041163958,0.4349067599067599,0.61022066169125,0.8745104176241051,0.6289200861258103,43.51923076923077,0.6798250575790483,139.5,29.8%,46.9%,20.8%,42.0%,232.2,68.8%,42.0%,64.7%,56.7%
413,robin haase,R,190.0,54.0,53.0,27.0,0.35453596601965126,0.2053128173790888,0.4325109900581599,0.599077390115126,0.7903888621846928,0.6156086914445488,63.320754716981135,0.6256923362066892,139.3,28.3%,48.9%,20.4%,41.7%,215.8,64.4%,41.7%,68.0%,41.7%
414,steve darcis,R,178.0,97.0,7.0,2.0,0.33631295408600526,0.13937618109444735,0.3500154607297464,0.5141620284477427,0.774915444033091,0.6457478744503167,53.57142857142857,0.625467508115526,,,,,,,,,,
415,fabio fognini,R,178.0,47.0,67.0,41.0,0.41096852022666075,0.31630556547150035,0.41768895545407714,0.5578308921592504,0.7279616759204118,0.5932407064071111,83.13432835820896,0.5997275573646856,160.6,33.3%,53.7%,30.7%,42.9%,218.2,60.2%,42.9%,54.2%,60.9%
416,marin cilic,R,198.0,14.0,37.0,25.0,0.3787126904055263,0.2334183216536157,0.4071490229384966,0.6003151260504201,0.8544449571303792,0.5608829124252035,54.810810810810814,0.6803256627459295,147.8,29.8%,51.8%,23.8%,42.4%,243.4,66.2%,42.4%,61.5%,73.3%
417,marcel granollers,R,190.0,33.0,54.0,30.0,0.38825758637580815,0.2542059688099046,0.4103169504850793,0.5508604821104822,0.745581892387448,0.6129505725528474,67.4074074074074,0.6204014261202486,147.0,28.7%,52.3%,23.6%,42.4%,217.4,56.5%,42.4%,64.7%,53.8%
418,thomaz bellucci,L,188.0,32.0,22.0,7.0,0.34789444694159527,0.1732507280301398,0.3346730289912108,0.5422462638371729,0.7160261084726325,0.5426845864999371,75.31818181818181,0.6060069201451573,,,,,,,,,,
419,viktor troicki,R,193.0,38.0,34.0,17.0,0.3781506959891975,0.23782378473122415,0.410628526773028,0.45791740938799763,0.7163658976548252,0.5933996551693651,64.82352941176471,0.6095790166872079,142.4,32.5%,47.3%,23.7%,38.9%,206.4,55.0%,38.9%,62.5%,50.0%
421,john isner,R,206.0,13.0,60.0,38.0,0.3111618642076427,0.12493929454713766,0.30314611314611306,0.5317521146325495,0.8970056153450758,0.6774526618924337,68.68333333333334,0.7220336667551372,110.7,23.6%,44.2%,12.2%,30.7%,231.5,70.8%,30.7%,62.1%,67.9%
423,kevin anderson,R,203.0,36.0,60.0,37.0,0.35766873188415865,0.19008909097724885,0.369030784030784,0.5923277240189004,0.8526029806250395,0.6420181119166498,64.1,0.6849569813653047,128.3,27.9%,47.2%,18.0%,35.2%,217.1,65.7%,35.2%,61.9%,54.3%
426,kei nishikori,R,178.0,18.0,52.0,33.0,0.40574628050150147,0.29626671405517563,0.4347597033610847,0.5549075924075925,0.7780677459894239,0.6218411749352926,65.53846153846153,0.6284178530870359,159.2,31.3%,54.8%,30.0%,43.1%,216.1,56.7%,43.1%,60.0%,56.3%
427,jeremy chardy,R,188.0,37.0,50.0,25.0,0.35061121776550885,0.18294892963933207,0.3622054154995331,0.5908722943722945,0.8044698071965872,0.6102569891364783,82.34,0.648478819869645,129.9,27.6%,48.9%,17.8%,35.6%,199.1,63.5%,35.6%,42.9%,57.1%
429,pablo andujar,R,180.0,45.0,49.0,18.0,0.3723579013865292,0.22547392785040474,0.39421981080144336,0.5809499174295094,0.691075546102557,0.5974327954554649,67.14285714285714,0.5802628449011447,138.2,28.9%,51.2%,22.2%,35.9%,171.3,62.4%,35.9%,44.4%,28.6%
438,leonardo mayer,R,188.0,72.0,29.0,12.0,0.34178648967524433,0.19252177842441534,0.4410509031198686,0.525807430117775,0.7483696295815971,0.6169623334361307,72.0,0.6136622442103798,,,,,,,,,,
441,daniel gimeno traver,R,185.0,71.0,41.0,14.0,0.36389671352166314,0.2112502538112294,0.39230153315519156,0.5769954641453613,0.7248094723704481,0.5645536979737128,71.63414634146342,0.6068885714381759,,,,,,,,,,
442,denis istomin,R,188.0,46.0,57.0,28.0,0.34811426107349963,0.1880417297986957,0.36786163326411003,0.6246481588586852,0.8083618891885688,0.6308363498990412,71.21052631578948,0.6443192730745307,131.0,26.8%,47.2%,18.4%,38.6%,201.0,66.6%,38.6%,50.0%,45.8%
446,horacio zeballos,L,188.0,66.0,37.0,14.0,0.306495582237246,0.16277907086730617,0.3134880884880884,0.5754372504372505,0.7518666658372541,0.6260425116805519,93.67567567567568,0.6159512055906452,122.4,24.2%,44.9%,16.3%,37.0%,196.9,62.4%,37.0%,62.5%,35.0%
449,paolo lorenzi,R,183.0,57.0,34.0,11.0,0.3573513682623993,0.18476074098911469,0.3121992386698269,0.539362516568399,0.7037927033305837,0.5670234087030112,64.52941176470588,0.5999949787313978,134.2,30.7%,48.5%,20.3%,34.7%,164.4,56.7%,34.7%,28.6%,44.4%
451,flavio cipolla,R,173.0,94.0,8.0,1.0,0.37466728840066715,0.1704059829059829,0.39226190476190476,0.397779304029304,0.5286210317460317,0.6616520647404536,68.875,0.4956426276173449,,,,,,,,,,
453,lukas lacko,R,185.0,48.0,25.0,9.0,0.35140640026134806,0.17466843205104077,0.32156565656565655,0.5303438228438229,0.7159608169608168,0.5846181082721378,61.6,0.5938876939651054,,,,,,,,,,
456,lukasz kubot,R,190.0,76.0,22.0,6.0,0.3542778922535622,0.19799189224322913,0.3625802228074956,0.5212440968122786,0.6792659064049439,0.6210342875957857,63.5,0.5806534839545612,,,,,,,,,,
458,santiago giraldo,R,188.0,63.0,38.0,14.0,0.35402902814672715,0.1970797584768173,0.37564935064935057,0.5033949968160495,0.7744168993201502,0.6327096921074032,77.5,0.6254328051806685,127.8,27.1%,46.8%,18.6%,35.3%,164.0,56.9%,35.3%,38.5%,33.3%
460,alexandr dolgopolov,R,180.0,20.0,45.0,19.0,0.3622986655781019,0.21191829412417643,0.3806749423416091,0.46952512237599947,0.7621629684609226,0.5237362923570705,61.977777777777774,0.6343811796012527,136.4,28.3%,49.4%,21.2%,37.5%,182.7,56.4%,37.5%,36.4%,52.4%
461,blaz kavcic,R,188.0,93.0,20.0,8.0,0.37268916306263133,0.22855976542614473,0.48213786213786214,0.5064285714285715,0.7330286619510757,0.6375498846537823,90.35,0.6200078779727741,,,,,,,,,,
465,tobias kamke,R,180.0,86.0,38.0,17.0,0.3848645079782613,0.2628512934433987,0.4601236117683486,0.5944454668138878,0.7489165804955278,0.6041700501063142,63.94736842105263,0.6027724799274291,151.5,30.1%,52.3%,26.1%,43.0%,203.1,60.1%,43.0%,40.0%,60.0%
470,ivan dodig,R,183.0,74.0,56.0,32.0,0.3843808096997053,0.26413962817661885,0.4396081596974454,0.5435966373728979,0.8186402941449548,0.5849696039943818,48.857142857142854,0.6627498322053847,145.4,28.8%,49.2%,23.1%,44.3%,199.4,63.3%,44.3%,47.4%,44.4%
472,milos raonic,R,196.0,15.0,58.0,39.0,0.33791754603522073,0.16242735599987118,0.36933653032790964,0.5193387072697419,0.9132130589153913,0.6296490093223601,49.41379310344828,0.7207860813543089,122.1,28.2%,44.4%,15.6%,33.9%,217.7,68.1%,33.9%,64.3%,51.4%
473,grigor dimitrov,R,188.0,41.0,55.0,32.0,0.36801653303944215,0.22600480337987253,0.39292328883237965,0.497934868162141,0.8355598099215484,0.6167363987640311,73.07272727272728,0.6712394170043294,137.4,29.5%,48.1%,21.6%,38.2%,200.5,60.3%,38.2%,61.1%,40.9%
479,albert ramos,L,188.0,51.0,41.0,19.0,0.37697290163404784,0.24315380737547157,0.4219086647199612,0.4789515880261935,0.7493274241301503,0.616685386375842,76.36585365853658,0.6249366525575525,,,,,,,,,,
480,lukas rosol,R,196.0,75.0,44.0,19.0,0.34706498351751963,0.18408227372043162,0.3263405118351642,0.6080881388368019,0.7749696586093647,0.5795459443786011,95.0909090909091,0.6235683297365594,128.2,28.0%,47.5%,18.9%,33.8%,177.4,63.6%,33.8%,40.0%,40.0%
481,ryan harrison,R,183.0,68.0,32.0,11.0,0.3101582575407054,0.13187587194940137,0.30448908730158736,0.6486317598595074,0.7687957203811985,0.5921471867803666,52.125,0.618664365016577,121.2,24.2%,46.0%,13.8%,37.2%,185.1,64.8%,37.2%,36.4%,46.7%
482,bernard tomic,R,193.0,64.0,43.0,21.0,0.32687600650568066,0.15301595277547467,0.37738090303069777,0.6155198483686857,0.811827782340778,0.6644300899238863,61.58139534883721,0.6442399820764841,121.1,23.5%,48.5%,15.1%,34.0%,211.2,66.8%,34.0%,57.1%,53.3%
485,martin klizan,L,190.0,30.0,35.0,12.0,0.3654604090289737,0.21773364516951427,0.4172686044114615,0.5834972248417627,0.723427382608055,0.5474028443278497,60.05714285714286,0.5908508950993085,135.5,28.1%,49.9%,20.3%,37.2%,174.7,65.8%,37.2%,25.0%,46.7%
488,benoit paire,R,196.0,43.0,60.0,30.0,0.38064060210224526,0.2479717164643635,0.4005559466700771,0.5295889746218694,0.7460669958218975,0.5197821462938593,65.73333333333333,0.6119277289391944,146.5,32.1%,49.4%,24.3%,40.7%,203.4,59.1%,40.7%,45.0%,58.6%
489,go soeda,R,178.0,73.0,15.0,3.0,0.29517720167974815,0.11780706135969293,0.29222222222222227,0.5301803751803752,0.7077641301480312,0.5693915077974762,61.06666666666667,0.5926271902820186,,,,,,,,,,
491,tatsuma ito,R,180.0,85.0,10.0,2.0,0.32565300715330603,0.13372549019607843,0.39416666666666667,0.47342161106866987,0.669970701719423,0.5751632766545541,84.3,0.582188312192941,,,,,,,,,,
492,adrian ungur,R,178.0,98.0,7.0,0.0,0.25835047503744285,0.04036281179138322,0.35714285714285715,0.4595848595848596,0.5871985157699443,0.5804048407301646,53.0,0.5390983866713891,,,,,,,,,,
493,david goffin,R,180.0,50.0,29.0,8.0,0.37623992624093205,0.2147835542865969,0.39665191130708377,0.5045317709110811,0.6375318266313944,0.6094729143306128,62.0,0.5711627695485613,146.0,31.6%,48.3%,23.0%,43.1%,174.2,54.9%,43.1%,42.9%,33.3%
494,marinko matosevic,R,194.0,49.0,43.0,19.0,0.3864310836403179,0.2660693653511711,0.4132449591751918,0.45068332829960733,0.7134214869337989,0.5861932798008762,93.72093023255815,0.605443005883869,145.5,29.1%,51.7%,24.8%,39.9%,175.9,54.7%,39.9%,25.0%,56.3%
495,jurgen zopp,R,190.0,88.0,6.0,1.0,0.3150136891512974,0.17496947496947493,0.2916666666666667,0.7000000000000001,0.7329257343963227,0.5992265553407587,41.833333333333336,0.5749734640504593,,,,,,,,,,
497,brian baker,R,190.0,59.0,7.0,3.0,0.37478457672583065,0.22062878641826011,0.4642426201249731,0.5493018259935554,0.7321094945155097,0.6216608250619439,63.285714285714285,0.6099479768865183,,,,,,,,,,
499,grega zemlja,R,183.0,56.0,30.0,12.0,0.3474912474645661,0.18106064555767443,0.3332881007881007,0.6035967655532875,0.7250350655092034,0.5688681377553172,81.36666666666666,0.5988376072613829,129.5,27.8%,46.9%,18.7%,36.1%,200.6,61.9%,36.1%,50.0%,52.6%
500,igor sijsling,R,190.0,70.0,43.0,18.0,0.3413868011313681,0.18936451095369478,0.3856228396926071,0.5477366796450243,0.7930164674566716,0.5784644913654499,70.72093023255815,0.647099871249224,130.3,25.9%,47.6%,17.7%,39.1%,170.7,57.5%,39.1%,26.7%,47.4%
501,jerzy janowicz,R,203.0,26.0,43.0,23.0,0.34600710033009247,0.1806660997131169,0.39042003488147914,0.5841989538808965,0.8364316029718819,0.6067023272234728,73.30232558139535,0.6652551080004557,127.6,29.1%,44.5%,17.6%,36.4%,207.7,66.9%,36.4%,46.7%,57.7%
502,roberto bautista agut,R,183.0,55.0,44.0,22.0,0.39899828769050333,0.2705235504129044,0.434973942427151,0.5740509490509492,0.7483586377971405,0.7048955489246151,107.52272727272727,0.6189272380672782,149.9,30.5%,52.6%,25.2%,41.6%,233.8,59.7%,41.6%,56.3%,76.2%
503,andrey kuznetsov,R,185.0,79.0,26.0,8.0,0.35658631427138954,0.17993167591583875,0.284539072039072,0.49788864981172676,0.7306326189929429,0.5861905730937675,72.11538461538461,0.6072373485746486,,,,,,,,,,
504,aljaz bedene,R,181.0,77.0,28.0,10.0,0.36131682116140146,0.20760867422051635,0.39264326942898364,0.45574465217322363,0.7096708700962903,0.5650494095464166,82.57142857142857,0.6134790575501743,,,,,,,,,,
505,evgeny donskoy,R,185.0,83.0,29.0,11.0,0.3401969520433682,0.158346060070198,0.3552218797654903,0.6406229785540131,0.80374602069811,0.5768027211802437,75.34482758620689,0.6291990611234333,121.2,26.1%,47.0%,15.3%,32.8%,168.0,63.5%,32.8%,36.4%,35.3%
506,guillaume rufin,R,188.0,91.0,20.0,8.0,0.36794121600060226,0.21856622909254483,0.33685286935286934,0.6138374125874125,0.7496918359418361,0.5569836089053749,63.15,0.6089911246187831,,,,,,,,,,
507,joao sousa,R,185.0,100.0,26.0,13.0,0.3561035377505011,0.20741377381053494,0.3284627653048705,0.570417082917083,0.711772421235984,0.6155009808917035,77.65384615384616,0.5925451735271708,,,,,,,,,,
508,guido pella,L,185.0,96.0,18.0,6.0,0.31567212616969,0.14180804645490064,0.26910331384015596,0.45794753086419754,0.6632677507677509,0.5736337559954827,71.22222222222223,0.5728561243737786,,,,,,,,,,
